"puesto","fechaPub","ID","fechaScraping"
"Ejecutivo Comercial Corporativo","Publicado hace 5 horas","www.buscojobs.com.uy/ejecutivo-comercial-corporativo-ID-164246",2019-01-07 17:57:56
"Técnico de Mantenimiento","Publicado hace 5 horas","www.buscojobs.com.uy/tecnico-de-mantenimiento-ID-164245",2019-01-07 17:57:56
"Responsable de logística","Publicado hace 5 horas","www.buscojobs.com.uy/responsable-de-logistica-ID-164243",2019-01-07 17:57:56
"Anfitriones de Cruceros Temporada 2019","Publicado hace 6 horas","www.buscojobs.com.uy/anfitriones-de-cruceros-temporada-2019-ID-164240",2019-01-07 17:57:56
"Oficial Electricista","Publicado hace 6 horas","www.buscojobs.com.uy/oficial-electricista-ID-164195",2019-01-07 17:57:56
"Desarrollador PHP full stack","Publicado hace 6 horas","www.buscojobs.com.uy/desarrollador-php-full-stack-ID-164238",2019-01-07 17:57:56
"Asistente Comercial - Multinacional de origen francés","Publicado hace 6 horas","www.buscojobs.com.uy/asistente-comercial-multinacional-de-origen-frances-ID-164234",2019-01-07 17:57:56
"ANALISTA DE RRHH","Publicado hace 7 horas","www.buscojobs.com.uy/analista-de-rrhh-ID-164229",2019-01-07 17:57:56
"Comprador","Publicado hace 7 horas","www.buscojobs.com.uy/comprador-ID-164233",2019-01-07 17:57:56
"Ejecutivo de venta telefónica - Portugués","Publicado hace 7 horas","www.buscojobs.com.uy/ejecutivo-de-venta-telefonica-portugues-ID-164227",2019-01-07 17:57:56
"Vendedor mostrador","Publicado hace 8 horas","www.buscojobs.com.uy/vendedor-mostrador-ID-164226",2019-01-07 17:57:56
"OPERARIO PARA INDUSTRIA ALIMENTICIA","Publicado hace 8 horas","www.buscojobs.com.uy/operario-para-industria-alimenticia-ID-164225",2019-01-07 17:57:56
"Developer .Net en Back End","Publicado hace 8 horas","www.buscojobs.com.uy/developer-net-en-back-end-ID-164221",2019-01-07 17:57:56
".NET Developer","Publicado hace 8 horas","www.buscojobs.com.uy/net-developer-ID-164216",2019-01-07 17:57:56
"Angular - Frontend Developer","Publicado hace 8 horas","www.buscojobs.com.uy/angular-frontend-developer-ID-164215",2019-01-07 17:57:56
"Asistente de Ventas para Panadería","Publicado hace 8 horas","www.buscojobs.com.uy/asistente-de-ventas-para-panaderia-ID-164223",2019-01-07 17:57:56
"Peón C/Experiencia para Importadora de Alimentos","Publicado hace 9 horas","www.buscojobs.com.uy/peon-cexperiencia-para-importadora-de-alimentos-ID-164211",2019-01-07 17:57:56
"Aprendiz Adelantado","Publicado hace 9 horas","www.buscojobs.com.uy/aprendiz-adelantado-ID-164214",2019-01-07 17:57:56
"¡Atención Salto! Buscamos experta en Cosmetología, perfumería","Publicado hace 11 horas","www.buscojobs.com.uy/atencion-salto-buscamos-experta-en-cosmetologia-perfumeria-ID-164209",2019-01-07 17:57:56
