"puesto","ID","fechaScraping","empresa","barrioCiudad","dpto","area","puestos","jornada","detalles","subareas","requisitos","fpub","dia"
"Administrativo Comercial","www.buscojobs.com.uy/administrativo-comercial-ID-164720",2019-01-24 01:51:25,"Encofrados Alsina del Uruguay","CiudaddelaCosta","Canelones","Administración de Empresas",1,"Completa","Sera responsable de gestionar íntegramente las tareas administrativas de una zona comercial asignada.Tendrá como principales tareas:•	Atención al cliente•	Presupuestos•	Pedidos•	Facturacion•	Gestión de Cobranza•	Gestión de fichas de alquiler•	Otras tareas administrativas y apoyo al departamento comercial","Administración – Secretariado / Administración de Empresas
									
										Administración – Secretariado / Auxiliar Administrativo
									
										Administración – Secretariado / Facturación / Cobros / Pagos
									
										Administración – Secretariado / Administración Contable y Financiera
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Caja y/o Facturación
									
										ERP (Enterprise Resource Planning)
									
										Gestión de cuentas
									
										Administración
									
										Microsoft Office
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							Edad: Desde 20 Hasta 30 Años
							
							
							
								
							
						

						
					
					
				",2019-01-23,"miércoles"
"Asistente Junior de Procesos Comerciales","www.buscojobs.com.uy/asistente-junior-de-procesos-comerciales-ID-164756",2019-01-24 01:51:25,"Advice",NA,"Montevideo","Auditoría",NA,"Completa","Empresa en el rubro de las Telecomunicaciones selecciona:Buscamos:Estudiantes avanzados o recibidos de la carrera de Contador Público con dominio de Excel a nivel avanzado (excluyente).Se requiere contar con experiencia en tareas de auditoría de procesos. Se valorará poseer conocimientos de Inglés a nivel intermedio. Horario de trabajo de lunes a viernes de 9 a 18 horas.Objetivos de la Posición:Será responsable de la evaluación y auditoría continua de los procesos existentes. Se encargará de identificar y detectar anomalías, establecerá controles y buscará propuestas de mejora. Capacitará a usuarios en la implementación de nuevos procesos.Hará revisión de información, unificando criterios y elaborando reporting varios.","Contabilidad – Auditoría – Finanzas / Auditoría
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Análisis de Datos
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							
							
								
							
						

						
					
					
				",2019-01-23,"miércoles"
"Auxiliar de Ventas - San Carlos - por SUPLENCIA","www.buscojobs.com.uy/auxiliar-de-ventas-san-carlos-por-suplencia-ID-164751",2019-01-24 01:51:25,"Pagnifique","SanCarlos","Maldonado","Atención al Cliente",1,"Completa","Principales responsabilidades:• Realizar la atención al público y venta de productos de las panaderías Pagnifique ubicadas en las principales cadenas de supermercados.• Hornear los productos de acuerdo al plan de horneado de cada local, para asegurar la disponibilidad de producto y minimizar los desperdicios.• Realizar la correcta manipulación de los productos de acuerdo a las normas de manipulación de alimentos, así como el seguimiento de los procedimientos internos para la cocción de los mismos.• Mantener el orden del local, así como el cumplimiento de los lineamientos del manual de limpieza, incluyendo su cronograma.• Recepcionar y controlar la mercadería recibida.• Dar apoyo en la realización del recuento físico de productos, así como en completar los diferentes registros relativos a la documentación necesaria a enviar a la administración.Competencias: Orientación a resultados, Iniciativa, Innovación, Trabajo en equipo, Orientación al cliente, Adherencia a las normas, Orientación a la calidad y a la productividad.Experiencia y formación:• Educación secundaria (deseable bachillerato completo)• No se requiere experiencia específica previa.Otros:• La posición implica trabajar 8 horas diarias en el horario de 15.00 a 23.00, sábados y domingos inclusive, con descanso semanal fijo durante la semana.• Propuesta a término por Suplencia","Atención al Cliente / Atención al Cliente
									
										Supermercados – Autoservices / Panadería
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Limpieza en General
									
										atención al cliente
									
										Panadería
									
								Estudio Mínimo Necesario: Secundaria Completa
							
							
							Edad: Desde 18 Hasta 65 Años
							
							
							
								
							
						

						
					
					
				",2019-01-23,"miércoles"
"Oficial Mantenimiento Industrial y Edilicio","www.buscojobs.com.uy/oficial-mantenimiento-industrial-y-edilicio-ID-164721",2019-01-24 01:51:25,"(Confidencial)","Maldonado","Maldonado","Albañil",NA,"Completa","La búsqueda se orienta a candidatos que posean formación técnica específica en electricidad, electromecánica, electrónica, mecánica, hidráulica, neumática, soldadura, así como en sistemas de climatización y enfriamiento.Los interesados deberán contar con conocimientos de sistemas termo-mecánicos, aire acondicionado y cámaras de frío, así como mantenimiento Industrial en general. También deberán poseer conocimientos informáticos a nivel usuario.Los candidatos deberán poseer amplia experiencia en mantenimiento industrial y edilicio en general.Los postulantes deberán contar con libreta de conducir y residencia en las ciudades de Maldonado o San Carlos.Se trata de una oportunidad para incorporarse a una importante y reconocida empresa en el Departamento de Maldonado.","Oficios – Servicios Varios / Albañil
									
										Oficios – Servicios Varios / Carpintería
									
										Oficios – Servicios Varios / Electricidad
									
										Oficios – Servicios Varios / Sanitaria
									
										Mantenimiento General / Mantenimiento General
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Electricidad
									
										Refrigeración / Calefacción
									
										Electromecánica
									
										Mantenimiento Industrial
									
										Mantenimiento General
									
										Electrotecnia
									
										Aire Acondicionado
									
										Mecánica
									
										Sanitaria
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							Edad: Desde 20 Hasta 50 Años
							
							
							
								Sexo: Masculino
							
						

						
					
					
				",2019-01-23,"miércoles"
"Supervisor de instalaciones","www.buscojobs.com.uy/supervisor-de-instalaciones-ID-164749",2019-01-24 01:51:25,"Randstad Uruguay ",NA,"Montevideo","Administración Contable y Financiera",NA,"Completa","Para nuestro importante cliente de rubro comunicaciones nos encontramos en la búsqueda de candidatos para la supervicion de equipos de trabajo en el rubro de instalaciones de comunicaciones.Relevar recaudo ( pliegos, planos ) para la presupuestación de instalaciones de cableado estructurado y eléctrica. Supervisar cuadrillas internas y externas en el marco del despliegue de obras de cableado y montajes. Liquidar los trabajos ejecutados y enviar los detalles al área comercial para su facturación.?	Experiencia en cableado estructurado y/o telefonía y/o eléctrica.?	Experiencia en instalaciones de Fibra Óptica, fusiones y mediciones. ?	Manejo de instrumental de certificación de cableado UTP?	Experiencia en montaje de Racks y equipamiento de comunicaciones?	Experiencia en relevamientos y presupuestación de instalaciones de cableado estructurado y eléctrico?	Experiencia en supervisión y seguimiento de obras de instalación, control de cuadrillas?	Lectura e interpretación de planos, manejo de AutoCAD ( se valorará )?	Disponibilidad horaria y para viajes programados al interior?	Buen manejo de herramientas ofimáticas ( Excel, Word, etc )?	Libreta de conducir.?	Formación UTU, ORT, IEC o similar.Remuneración acorde a las responsabilidades.","Administración – Secretariado / Administración Contable y Financiera
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Actualización e Instalación de Software
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							
							
								
							
						

						
					
					
				",2019-01-23,"miércoles"
"Tester Jr","www.buscojobs.com.uy/tester-jr-ID-164753",2019-01-24 01:51:25,"(Confidencial)",NA,"Montevideo","Testing de Sistemas",1,"Completa","Objetivo:Llevar adelante las tareas de Testing requeridas para el trabajo producido.Principales responsabilidades:Diseñar, ejecutar y documentar, las pruebas determinadas por el reporte.Realizar tareas de UAT de productos entregados por proveedores.","Tecnologías de la Información / Testing de Sistemas
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Testing Unitario
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							Edad: Desde 18 Hasta 70 Años
							
							
							
								
							
						

						
					
					
				",2019-01-23,"miércoles"
"Jefe de RRHH","www.buscojobs.com.uy/jefe-de-rrhh-ID-164748",2019-01-24 01:51:25,"Advice","Montevideo","Montevideo","Administración de Personal",NA,"Indiferente","Importante empresa de Agronegocios ubicada en el este del país:Buscamos:Profesionales egresados de carreras de Psicología, Recursos Humanos, Relaciones Laborales o carreras afines. Se valora postgrado o especialización en Recursos Humanos. Experiencia de tres a cinco años en áreas de RRHH dentro de empresas industriales, con supervisión de equipos, liderando toda la gestión del sector y con experiencia en manejo de sindicato. La posición implica radicarse en la zona este del país.Objetivos de la posición:Será responsable por la planificación, dirección y coordinación de las actividades orientadas a la gestión del Capital Humano de la organización. Las mismas incluyes;Trabajar junto con la Gerencia en el dimensionamiento de plantilla y la optimización de recursos.Poner foco en la gestión de RRHH y la negociación con el sindicato.Diseñar e implantar los procedimientos que hagan falta en cuanto a las diferentes áreas (selección, formación, desarrollo, organización, etc.).Supervisar la Gestión y Administración de Personal con apoyo del área contable/contador. Gestionar la implantación de herramientas informáticas para las diferentes áreas de Recursos Humanos y realizar reporte periódico del desarrollo de su actividad Crear un plan de comunicación interna, entre otras.","Recursos Humanos / Administración de Personal
									
										Recursos Humanos / Capacitación de Personal
									
										Recursos Humanos / Evaluación de Personal
									
										Recursos Humanos / Organización Interna
									
										Recursos Humanos / Prevención de Riesgos Laborales
									
										Recursos Humanos / Pruebas Psicotécnicas
									
										Recursos Humanos / Selección de Personal
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Gestión de Recursos
									
										Recursos humanos
									
								Estudio Mínimo Necesario: Terciario Completo
							
							
							
							
								
							
						

						
					
					
				",2019-01-23,"miércoles"
"Encargada de Financiera	","www.buscojobs.com.uy/encargada-de-financiera-ID-164730",2019-01-24 01:51:25,"Rápido","TreintayTres","TreintayTres","Administración de Capitales",1,"Completa","Se necesita encargado de casa de crédito, con experiencias y referencias en el sector (detalladas en el curriculum), conocimientos de ventas de créditos, gestión de morosos y manejo de financiera. Buscamos persona pro activa con afán de superación, responsable y buena presencia.  CURRICULUM CON FOTO","Banca – Servicios Financieros / Administración de Capitales
									
										Banca – Servicios Financieros / Créditos
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Gestión de Morosos
									
										Administración
									
										Venta de productos financieros
									
										Auxiliar Contable
									
								Estudio Mínimo Necesario: Secundaria Completa
							
							
							Edad: 30 Años
							
							
							
								
							
						

						
					
					
				",2019-01-23,"miércoles"
"Encargado de sistemas","www.buscojobs.com.uy/encargado-de-sistemas-ID-164745",2019-01-24 01:51:25,"Randstad Uruguay ",NA,"Montevideo","Administración Contable y Financiera",NA,"Completa","para importante cliente multinacional nos encontramos en la besuqueada de Encargado de sistemas.Los interesados debe contar con experiencia comprobada de 2 años.Estudiantes avanzados o egeresados de la carrera de sistemas y administración de redes.Las tareas a realizar son:Gestionar y administración de red ,dispositivos de seguridad entre otros.Administrador de servidores y configuración de sistemasBrindar soporte a usuariosInstalación y administración de sitio webTelecomunicacionesManejo de proveedores Diagnostico y solución de dificultades del sistema.Disponibilidad para viajar al interior del país. Remuneración al cargo.","Administración – Secretariado / Administración Contable y Financiera
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Sistemas
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							
							
								
							
						

						
					
					
				",2019-01-23,"miércoles"
"Operario de silos - Paysandu","www.buscojobs.com.uy/operario-de-silos-paysandu-ID-164744",2019-01-24 01:51:25,"Randstad Uruguay ",NA,"Paysandú","Administración Contable y Financiera",1,"Completa","Para importante cliente nacional ubicado en el departamento Paysandú nos encontramos en la búsqueda de  operario de Silos para importante planta industrial.Los candidatos interesados deberán contar con los siguientes requerimientos:Ciclo básico CompletoExperiencia comprobada en manejo de plantas de SilosExperiencia y/o conocimiento en recepción de granosManejo de herramientas informáticas, enfoque en Excel /Correo electrónico.Disponibilidad para trabajar en turnos rotativos.Son competencias valoradas :Compromiso y responsabilidadIniciativa y creatividadTrabajo en EquipoPara nuestro importante cliente nacional ubicado en el departamento Paysandú nos encontramos en la búsqueda de perfiles para ocupar la posición d operario de Silos para importante planta industrial.Los candidatos interesados deberán contar con los siguientes requerimientos:Ciclo básico CompletoExperiencia comprobada en manejo de plantas de SilosExperiencia y/o conocimiento en recepción de granosManejo de herramientas informáticas, enfoque en Excel /Correo electrónico.Disponibilidad para trabajar en turnos rotativos.Son competencias valoradas :Compromiso y responsabilidadIniciativa y cratividadTrabajo en EquipoProactiviada y dinamismosHorarios rotativos – Modalidad de descanso rotativa. Proactividad  y dinamismoHorarios rotativos – Modalidad de descanso rotativa.","Administración – Secretariado / Administración Contable y Financiera
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Operario Industrial
									
								Estudio Mínimo Necesario: Secundaria Completa
							
							
							
							
								
							
						

						
					
					
				",2019-01-23,"miércoles"
