"puesto","ID","fechaScraping","empresa","barrioCiudad","dpto","area","puestos","jornada","detalles","subareas","requisitos","fpub","dia"
"Niñeras","www.buscojobs.com.uy/nineras-ID-170860",2019-07-20 07:51:20,"(Confidencial)","Montevideo","Montevideo","Música",5,"Indiferente","Atención Niñeras!  Por fin llegó la propuesta que estaban esperando!  Buscamos personas con alto nivel de empatía y excelente relacionamiento interpersonal, para desempeñarse como niñeras. Valoramos especialmente la experiencia previa en cuidados de bebes y niños, con referencias comprobables, y formación en áreas relacionadas (educación/salud, con énfasis en primera infancia) Esta es una gran oportunidad para ti si:  *Sientes una verdadera vocación por el trabajo con niños.  *Buscas un complemento económico, haciendo lo que te gusta!  *Quieres continuar tus estudios, y desarrollarte en el área materno-infantil.Postulate indicando tus motivaciones para el cargo, los horarios que tienes disponibles y tus expectativas salariales por hora.","Arte – Cultura – Comunicación / Música
										Arte – Cultura – Comunicación / Teatro
										Educación – Docencia / Capacidades Diferentes
										Educación – Docencia / Docencia – Canto
										Educación – Docencia / Docencia – Instrumentos Musicales
										Educación – Docencia / Educación Preescolar
										Educación – Docencia / Educación Primaria
										Educación – Docencia / Psicopedagogía
										Salud / Enfermería
										Salud / Psicología
										Deporte – Tiempo Libre – Recreación / Animadores
								","
					
						
							
							
							Conocimientos: 
							
								Educación preescolar
										Animación de fiestas
										Cuidado de niños
										Educación Inicial
								Idiomas: 
							
							Inglés
							Estudio Mínimo Necesario: Secundaria Completa
							Edad: Desde 21 Hasta 55 Años
						

						
					
					
				",2019-07-19,"viernes"
"Acompañante Perinatal","www.buscojobs.com.uy/acompanante-perinatal-ID-170884",2019-07-20 07:51:20,"(Confidencial)",NA,"Montevideo","Babysitter",1,"Indiferente","¿Sientes deseos de acompañar parejas durante el proceso de embarazo y postparto?  ¿Tienes conocimientos en el área perinatal y quieres volcarlos en un empleo formal?  Si sos Doula certificada y/o estudiante avanzada de carreras vinculadas al acompañamiento en la salud y te interesa trabajar acompañando parejas, postulate para trabajar con nosotros. Buscamos personas que transmitan seguridad y tranquilidad a la mamá y su familia en el momento del nacimiento y/o durante el puerperio.","Oficios – Servicios Varios / Babysitter
										Oficios – Servicios Varios / Masajista
										Salud / Enfermería
										Salud / Medicina Alternativa
										Salud / Técnicos
										Especializaciones / Psicología
								","
					
						
							
							
							Conocimientos: 
							
								Cuidado de niños
										Masaje 
										Psicología
										Psicoterapia
								Estudio Mínimo Necesario: Terciario Incompleto
						

						
					
					
				",2019-07-19,"viernes"
"Buscamos Auxiliar de Canjes","www.buscojobs.com.uy/buscamos-auxiliar-de-canjes-ID-170895",2019-07-20 07:51:20,"Farmashop","Montevideo","Montevideo","Contaduría",NA,"Completa","¿Qué buscamos?•	Estudiante de Contador público.•	Deseable experiencia en posiciones administrativas •	Habilidades para comunicar y negociar•	Disposición para trabajar de 9:00 a 18:00hs lunes a viernes en la zona de carrasco.Te desafiamos a:•	Tratar con los proveedores•	Gestionar los canjes de acuerdos comerciales•	Crear reportes de seguimiento mensuales•	Ingresar notas de crédito al sistema¿Por qué elegirnos? •	Somos la compañía líder en el rubro, nuestro objetivo es garantizar a clientes internos y externos una experiencia de excelencia. El desarrollo de nuestros colaboradores es para nosotros un pilar fundamental, por lo que ofrecemos importantes desafíos profesionales en el marco de un excelente clima laboral. Trabajamos de forma continua en la optimización e innovación de nuestros procesos de forma de garantizar la calidad y mejora continua.","Contabilidad – Auditoría – Finanzas / Contaduría
								","
					
						
							
							
							Conocimientos: 
							
								Administración Contable y Financiera
										Auxiliar Contable
								Estudio Mínimo Necesario: Terciario Incompleto
						

						
					
					
				",2019-07-19,"viernes"
"Desarrollador de java","www.buscojobs.com.uy/desarrollador-de-java-ID-170894",2019-07-20 07:51:20,"Farmashop","Montevideo","Montevideo","Programación",NA,"Completa","¿Qué buscamos?Estudiante avanzado y/o egresado de carreras afines a Sistemas.Persona apasionada y pro-activa, con excelentes habilidades para trabajar en equipo y capacidad de trabajar de forma autónoma.Experiencia mínima de 2 años en desarrollo en Java y/o Java EE.Experiencia en implementación de servicios web (REST, JSON, XML).Experiencia con bases de datos relacionales (MySQL, Postgres, Oracle).Experiencia en automatización de test unitarios (JUnit/TestNG).Experiencia utilizando Git.Se valorará experiencia en: Angular, Docker, MongoDB.Te desafiamos a:Aplicar tu conocimiento técnico en la resolución de problemas para alcanzar los mejores resultados e implementar buenas prácticas.Desarrollar código de excelente calidad.Analizar y diseñar sistemas, generar la documentación técnica y los tests unitarios y tests de integración correspondientes.Trabajar en coordinación con el responsable del proyecto para alcanzar los objetivos.¿Por qué elegirnos? Somos la compañía líder en el rubro, nuestro objetivo es garantizar a clientes internos y externos una experiencia de excelencia. El desarrollo de nuestros colaboradores es para nosotros un pilar fundamental, por lo que ofrecemos importantes desafíos profesionales en el marco de un excelente clima laboral. Trabajamos de forma continua en la optimización e innovación de nuestros procesos de forma de garantizar la calidad y mejora continua.Este llamado es abierto y contempla lo establecido por la Ley 19.691 que refiere a la promoción de oportunidades de empleo para personas en situación de discapacidad.","Tecnologías de la Información / Programación
										Tecnologías de la Información / Testing de Sistemas
										Tecnologías de la Información / Desarrollo
								","
					
						
							
							
							Conocimientos: 
							
								Java
										JavaScript
										Investigación y Desarrollo
								Estudio Mínimo Necesario: Terciario Incompleto
							Edad: Desde 23 Hasta 29 Años
						

						
					
					
				",2019-07-19,"viernes"
"Analista de Business Intelligence","www.buscojobs.com.uy/analista-de-business-intelligence-ID-170893",2019-07-20 07:51:20,"Paigo","Montevideo","Montevideo","Economía",1,"Completa","La Empresa:Se trata de una Fintech con modelo innovador, ubicada en Sinergia WTC.Objetivos Generales de Puesto:Deberá generar y analizar la información del negocio y del comportamiento de clientes. Ayudar al cumplimiento del plan comercial. Las principales tareas serán las siguientes:Analizar grandes bases de datosParticipar en la definicio´n de las reglas de negocio y desarrollo de modelos de aprendizaje automa´tico.Generar herramientas para la visualizacio´n de datos.Apoyar en la ejecución de plan de campañas y obtención de objetivos.Apoyar en planificación mensual y semanal de las campañas comerciales.Coordinación con el área de Marketing de empresa.Participación en el diseño de productos.Tus Cualidades y Requisitos:Estudiante o egresado de carreras como: Economía, Estadística, Ingeniería de sistemas o Analista de Sistemas. Se valora contar con experiencia en análisis de datos y manejo de Tableau, R, MySQL.Manejo de herramientas informáticas (Excel).Contar con capacidad creativa y analítica, curiosidad, colaboración, compromiso, espíritu emprendedor.","Contabilidad – Auditoría – Finanzas / Economía
										Tecnologías de la Información / Administración de Base de datos
										Tecnologías de la Información / Business Intelligence (BI) / DataWarehousing
								","
					
						
							
							
							Conocimientos: 
							
								MySQL
										Microsoft Office
								Idiomas: 
							
							Inglés
							Estudio Mínimo Necesario: Terciario Incompleto
							Edad: Desde 20 Hasta 35 Años
						

						
					
					
				",2019-07-19,"viernes"
"Auxiliar Administrativo Contable_Suplencia por 1 mes","www.buscojobs.com.uy/auxiliar-administrativo-contable-suplencia-por-1-mes-ID-170892",2019-07-20 07:51:20,"HUMAN PHI","Montevideo","Montevideo","Administración de Empresas",NA,"Completa","Seleccionamos para importante Institución Pública, Auxiliar Administrativo Contable_Suplencia por 1 mes  que cumpla con el siguiente perfil:Los Requisitos•	Estudiantes de Administración o Contabilidad, primeros ciclos.•	Experiencia en tareas de Administración y Contabilidad (Excluyente)•	Conocimientos y manejo de programas contables y Excel.•	Se requiere conocimiento y/o experiencia en procesamiento de facturas, recibos y otros documentos afines a la contabilidad.Las Responsabilidades•	Actividades administrativas de organización y control solicitadas por el Área de Administración y Finanzas.•	Se responsabilizará por el procesamiento de los documentos contables en los programas correspondientes.•	Apoyo administrativo a los diversos Sectores.La Propuesta•	Jornada laboral: lunes a viernes de 8 horas diarias•	Zona: Centro de Montevideo.•	Sueldo acorde.•	Ingreso inmediato.","Administración – Secretariado / Administración de Empresas
										Administración – Secretariado / Auxiliar Administrativo
										Administración – Secretariado / Facturación / Cobros / Pagos
										Administración – Secretariado / Administración Contable y Financiera
								","
					
						
							
							
							Conocimientos: 
							
								Administración
										Auxiliar Contable
								Estudio Mínimo Necesario: Terciario Incompleto
							Edad: Desde 18 Hasta 65 Años
						

						
					
					
				",2019-07-19,"viernes"
"Agente de Atención al cliente - Turno noche","www.buscojobs.com.uy/agente-de-atencion-al-cliente-turno-noche-ID-170890",2019-07-20 07:51:20,"PedidosYa.com",NA,"Montevideo","Atención al Cliente",NA,"Completa","Excelente oportunidad para sumarse al área de Operaciones de PedidosYa. Ofrecemos diferentes turnos y la posibilidad de trabajar en un gran ambiente laboral.El Operador asumirá la responsabilidad de brindar una excelente atención y servicio a los clientes y usuarios de PedidosYa, pudiendo ser parte de los diferentes equipos que componen el área, cada uno de ellos orientado a una función diferente.- Disponibilidad para trabajar fin de semana en horarios vespertinos/nocturnos  - Día libre entre lunes y jueves -Que te ofrecemos:Horarios adecuados para poder estudiarTrabajo independiente en un equipo altamente motivado y dinámicoExcelente ambiente de trabajo, descontracturado, de excelente ubicación; te, café, frutas en la oficina, acciones divertidas en fechas especiales, etc.Cultura de trabajo de una empresa de e-Commerce líder en Latinoamérica de rápido crecimiento con muchas oportunidades profesionales y en un ambiente familiar.","Atención al Cliente / Atención al Cliente
										Atención al Cliente / Recepción
										Teletrabajo – Call Center / Call Center
										Teletrabajo – Call Center / Telemarketing
								","
					
						
							
							
							Conocimientos: 
							
								Microsoft Office
								Estudio Mínimo Necesario: Terciario Incompleto
						

						
					
					
				",2019-07-19,"viernes"
"Vendedores Telefónicos Senior - Portugués","www.buscojobs.com.uy/vendedores-telefonicos-senior-portugues-ID-170889",2019-07-20 07:51:20,"Telecom Networks",NA,"Montevideo","Atención al Cliente",NA,"Completa","Buscamos Representantes de Ventas Nuevas en Portugués para sumar a nuestro equipo!¿Te apasionan las ventas? ¿Te gusta alcanzar tus objetivos? ¿Queres vender un producto valioso?Si la respuesta es sí, ¡postúlate! ¡Tenemos una gran oportunidad para ti!Trabaja en ventas, gana mucho dinero y vende un producto valioso, vendé educación.Te invitamos a unirte a nosotros y ser un líder en nuestro centro de llamadas internacionales.Este puesto es para personas orientadas a las ventas, que desean especializarse en ventas en el campo de la enseñanza de idiomas y el asesoramiento a estudiantes.Requisitos:Manejo de idioma portugués avanzado, excluyente.Experiencia previa en ventas telefónicas, excluyente.Habilidades de negociación.Confianza.Compromiso.Orientación a los resultados.Perseverancia. Importante:Los horarios disponibles para esta posición son: Domingos de 16 a 23 y lunes a Jueves de 9 a 16.Ofrecemos salarios competitivos, estabilidad y el mejor clima de trabajo.Establecido en el año 2000, eTeacher Group crea y opera escuelas virtuales líderes en todo el mundo convirtiéndose en un exitoso campus de idiomas online. eTeacher se especializa en las clases dirigidas por docentes en línea. Trabajamos con profesionales líderes en cada paso del camino, desde reclutar docentes y desarrollar contenido hasta marketing, ventas y operaciones.Una escuela virtual es un negocio. Tiene que ser planificado como un negocio, construido como un negocio, comercializado como un negocio y funcionando como un negocio. Cada una de estas operaciones requiere experiencia y determinación. Esto es lo que hacemos en eTeacher","Atención al Cliente / Atención al Cliente
										Comercio – Mercadeo – Ventas / Venta de Servicios
										Teletrabajo – Call Center / Call Center
										Teletrabajo – Call Center / Telemarketing
								","
					
						
							
							
							Conocimientos: 
							
								Telemarketing
										Venta de servicios
										Call Center
								Idiomas: 
							
							Portugués
							Estudio Mínimo Necesario: Terciario Incompleto
						

						
					
					
				",2019-07-19,"viernes"
"Vendedores Telefónicos Senior - Español","www.buscojobs.com.uy/vendedores-telefonicos-senior-espanol-ID-170888",2019-07-20 07:51:20,"Telecom Networks","Montevideo","Montevideo","Atención al Cliente",NA,"Completa","Estamos buscando Representante de Ventas Telefónicas para sumar a nuestro equipo!¿Tienes un espíritu comercial? ¿Te gusta alcanzar tus objetivos? ¿Eres un jugador de equipo?Si la respuesta es sí, ¡postúlate! ¡Tenemos una gran oportunidad para ti!Trabaja en ventas, gana mucho dinero y vendé un producto valioso, vendé educación.Te invitamos a unirte a nosotros y ser un líder en nuestro centro de llamadas internacionales.Este puesto es para personas orientadas a las ventas, que desean especializarse en ventas en el campo de la enseñanza de idiomas y el asesoramiento a estudiantes.Establecido en el año 2000, eTeacher Group crea y opera escuelas virtuales líderes en todo el mundo convirtiéndose en un exitoso campus de idiomas online. eTeacher se especializa en las clases dirigidas por docentes en línea. Trabajamos con profesionales líderes en cada paso del camino, desde reclutar docentes y desarrollar contenido hasta marketing, ventas y operaciones.Una escuela virtual es un negocio. Tiene que ser planificado como un negocio, construido como un negocio, comercializado como un negocio y funcionando como un negocio. Cada una de estas operaciones requiere experiencia y determinación. Esto es lo que hace eTeacher.Ofrecemos salarios competitivos, estabilidad y el mejor clima de trabajo.Horarios vacantes:Opción 1: Domingo a Jueves de 17:00 a 00:00 o de 16:00 a 23:00.Opción 2: Martes a viernes de 17:00 a 00:00 o de 16:00 a 23:00 y sábados de 10:00 a 17:00.Requisitos:Experiencia previa en ventas telefónicas, excluyenteHabilidades de negociaciónConfianzaCompromisoOrientación a los resultadosCapacidad de adaptación","Atención al Cliente / Atención al Cliente
										Comercio – Mercadeo – Ventas / Venta de Servicios
										Teletrabajo – Call Center / Call Center
										Teletrabajo – Call Center / Telemarketing
								","
					
						
							
							
							Conocimientos: 
							
								Telemarketing
										Venta de servicios
										Call Center
								Estudio Mínimo Necesario: Terciario Incompleto
						

						
					
					
				",2019-07-19,"viernes"
"Accountant","www.buscojobs.com.uy/accountant-ID-170811",2019-07-20 07:51:20,"(Confidencial)","Montevideo","Montevideo","Contaduría",1,"Completa","Main Duties and ResponsibilitiesThe Accountant shall be responsible for providing accounting services for internal group companies (as needed), clients’ companies and investment funds.  He or she will also provide administrative support to outside accounting and audit firms in regards to clients’ companies to ensure timely reporting to the company’s country of incorporation authorities .Principal Activities:?	Prepare financial reports (annual accounts - including balance sheet, profit and loss statement, cash flow, and accounting principles and notes) according to International Accounting Standards for client companies and investment funds.?	Manage communication with client to obtain periodic financial information necessary to prepare the Financial Reports.?	Perform other tasks related to the accounting of client companies.?	Interface with clients having companies in countries where an outside or local accountant is necessary, assisting the local accountant to obtain timely and accurate information.?	Review NAV calculation for clients’ investment funds.?	Assist Relationship Managers in the preparation of supporting corporate documents, communication with international suppliers maintenance and incorporation of client’s entities..The position reports to the Montevideo Office Manager.Skills:?	3-4 years accounting experience?	Accounting-corporate knowledge, and accounting-financial knowledge (financial instruments)?	Knowledge of corporate structures, estate and tax planning will be considered a plus.?	Extensive knowledge of IFRS?	Proficient in English?	Portuguese will be considered a plus?	Advanced computer skills in Excel","Contabilidad – Auditoría – Finanzas / Contaduría
								","
					
						
							
							
							Conocimientos: 
							
								Administración Contable y Financiera
								Idiomas: 
							
							Inglés
								Portugués
							Estudio Mínimo Necesario: Terciario Completo
							Edad: Desde 25 Hasta 35 Años
						

						
					
					
				",2019-07-19,"viernes"
"Encargado/a para local comercial-Costa Urbana Shopping","www.buscojobs.com.uy/encargadoa-para-local-comercial-costa-urbana-shopping-ID-170876",2019-07-20 07:51:20,"(Confidencial)","CiudaddelaCosta","Canelones","Comercial / Ventas",1,"Completa","El cargo requiere cierre de local y apertura en algunas ocasiones.Coordinación del equipo de fuerza de ventaArmado de horariosFacturación y tareas administrativasentre otros.HORARIO DE 14 A 22HSLOCAL DE SHOPPINGPersonas entre 25 y 40 años de edad","Comercio – Mercadeo – Ventas / Comercial / Ventas
										Comercio – Mercadeo – Ventas / Encargado de Local
										Comercio – Mercadeo – Ventas / Venta de Indumentaria
										Marketing – Publicidad / RRPP y Eventos
										Recursos Humanos / Capacitación de Personal
										Recursos Humanos / Evaluación de Personal
										Diseño – Decoración / Escaparatismo
								","
					
						
							
							
							Conocimientos: 
							
								Coordinación de fuerza de ventas
										Venta en mostrador
										Venta al por Menor
										Atención al Cliente
										Microsoft Office
								Estudio Mínimo Necesario: Secundaria Completa
							Edad: Desde 25 Hasta 40 Años
						

						
					
					
				",2019-07-19,"viernes"
"Escribana -Secretaria","www.buscojobs.com.uy/escribana-secretaria-ID-170878",2019-07-20 07:51:20,"(Confidencial)","Montevideo","Montevideo","Escribanía y Registro",1,"Medio turno tarde","Busco Escibana para tareas de control de documentos, secretaría , certificados","Sector Legal / Escribanía y Registro
								","
					
						
							
							
							Conocimientos: 
							
								Escribanía Pública
								Estudio Mínimo Necesario: Terciario Completo
							Edad: Desde 23 Hasta 35 Años
									Sexo: Femenino
						

						
					
					
				",2019-07-19,"viernes"
"Ejecutivo de venta telefónica - Portugués","www.buscojobs.com.uy/ejecutivo-de-venta-telefonica-portugues-ID-170873",2019-07-20 07:51:20,"RCI Latinoamerica S.A.","Zonamérica","Montevideo","Comercial / Ventas",NA,"Indiferente","Você quer trabalhar na empresa líder ao nível mundial em Intercâmbio de Férias?Você quer formar parte da companhia que ajuda a mais de 3.7 milhões de associados em todo o mundo a viver as suas férias de Sonho?Venha! Junte-se a nossa equipe!Estamos selecionando pessoas para a vaga de Guia de Férias.A vaga :Reporta a equipe de Team Leaders e tem como principais responsabilidades:- Prestar um serviço de classe mundial aos associados, garantindo a máxima satisfação dos mesmos e atingindo os objetivos de vendas pessoais e grupais.- Estar em contato com os associados por médio da gestão de chamadas telefônicas de saída (Outbound) e entrada (Inbound) para oferecer-lhes os diferentes produtos de férias e dar atendimento as suas necessidades relacionadas ao gerenciamento da sua filiação RCI®.- Cumprir e promover ativamente os pilares fundamentais da cultura da empresa.Requisitos:- Procuramos pessoas com perfil inovador, enérgicas, dinâmicas, com gosto pelos desafios e marcada orientação para o cliente.- É requisito indispensável contar com um excelente nível de comunicação em português, perfil de serviço e potencial para vendas telefônicas.- Serão valoradas ter experiência prévia em Vendas ou Serviço ao Cliente (não excludente)A Empresa:Oferecemos a possibilidade de que você pertença a uma empresa multinacional líder ao nível mundial, com excelentes possibilidades de comissões por vendas, um ambiente laboral dinâmico, benefícios, capacitação constante, equilíbrio entre vida/trabalho e possibilidades de desenvolvimento.","Comercio – Mercadeo – Ventas / Comercial / Ventas
										Comercio – Mercadeo – Ventas / Ejecutivo de Cuentas
										Teletrabajo – Call Center / Call Center
										Teletrabajo – Call Center / Telemarketing
										Turismo – Hotelería – Gastronomía / Atención al Viajero
										Turismo – Hotelería – Gastronomía / Reservas
								","
					
						
							
							
							Conocimientos: 
							
								Microsoft Office
								Estudio Mínimo Necesario: Secundaria Completa
						

						
					
					
				",2019-07-19,"viernes"
"Tecnico/a Externo","www.buscojobs.com.uy/tecnicoa-externo-ID-170874",2019-07-20 07:51:20,"LA BANCA",NA,"Montevideo","Hardware / Reparación PC",NA,"Completa","Si estás buscando adquirir tus primeras experiencia en el área de Servicio y Soporte Técnico, en La Banca te damos la oportunidad!Buscamos candidatos/as que cuenten con formación en Bachillerato Tecnológico, excelente dominio de sistemas operativos Windows y Linux y sólidos conocimientos de Hardware. Valoramos experiencia previa en cargos de similar responsabilidad y será imprescindible contar con disponibilidad horaria para trabajar un día del fin de semana (44 hs semanales).La persona que ocupe el cargo será responsable de realizar visitar diarias a los clientes para gestionar la reparación, actualización y configuración de los equipos, brindado atención y asesoramiento personalizado.Te ofrecemos la posibilidad de integrarte a una empresa solida en un cargo estable, con posibilidades de desarrollo y capacitación.","Tecnologías de la Información / Hardware / Reparación PC
										Tecnologías de la Información / HelpDesk / Soporte Técnico
										Tecnologías de la Información / Operador Internet / Operador PC
								","
					
						
							
							
							Conocimientos: 
							
								Soporte a Sistemas de Ofimática
										Reparación PC
								Estudio Mínimo Necesario: Secundaria Completa
							Edad: Desde 22 Hasta 40 Años
						

						
					
					
				",2019-07-19,"viernes"
"Esteticista","www.buscojobs.com.uy/esteticista-ID-170824",2019-07-20 07:51:20,"(Confidencial)",NA,"Montevideo","Estética / Cosmética",1,"Indiferente","Esteticista con formación y experiencia para incorporarse en centro estético (Spa), dentro de zona Punta Carretas.Excelente atención al cliente, simpatía y disposición.Requisitos excluyentes . * Masaje relax * Masaje descontracturante * Drenaje linfáticoBuena presencia. CURRICULUM CON FOTOS.","Oficios – Servicios Varios / Estética / Cosmética
										Oficios – Servicios Varios / Masajista
								","
					
						
							
							
							Conocimientos: 
							
								Masaje 
								Estudio Mínimo Necesario: Secundaria Completa
							Edad: Desde 21 Hasta 28 Años
									Sexo: Femenino
						

						
					
					
				",2019-07-19,"viernes"
"Oficial Mecánico-  Contrato a término","www.buscojobs.com.uy/oficial-mecanico-contrato-a-termino-ID-170871",2019-07-20 07:51:20,"CONAPROLE","Montevideo","Montevideo","Mantenimiento Industrial",NA,"Completa","Para Taller Electromecánico IndustrialQuien resulte seleccionado/a se integrará al equipo del Taller Electromecánico Industrial y realizará el mantenimiento mecánico, operación y montaje de los equipos, de acuerdo a los objetivos establecidos por la Jefatura y Supervisión de Mantenimiento cumpliendo con los estándares establecidos por la organización.Principales responsabilidades:Mantenimiento y reparación de equipos.Detectar y diagnosticar fallas en los distintos sistemas o equipos, analizando los requerimientos necesarios para la reparación.Realizar tareas tales como: trabajos de mecánica, hidráulica, sistemas de control, ajustes, calibraciones, entre otras actividades.Trasladarse a las plantas de Montevideo e interior para realizar reparaciones.Ejecutar las actividades previstas en los Planes de Mantenimiento, Procedimientos e Instructivos.Requisitos:Bachillerato Técnico completo más curso de especialización, preferentemente en mecánica automotriz y/o especialización técnica que lo acredite Experiencia en tareas de similar responsabilidadLibreta de conducir (A) y habilitación para manejo de autoelevadores (categoría H)Disponibilidad para viajar al interiorDisponibilidad para trabajar en contrato a términoSe valorará la capacidad de integrarse y trabajar en equipo, resolución de problemas e iniciativa.","Industria – Producción / Mantenimiento Industrial
										Industria – Producción / Mecánica Industrial
										Industria – Producción / Montaje Industrial
										Oficios – Servicios Varios / Mecánica de Autos
										Oficios – Servicios Varios / Mecánica General
								","
					
						
							
							
							Conocimientos: 
							
								Electricidad
										Electromecánica
										Mecánica
								Estudio Mínimo Necesario: Terciario Completo
						

						
					
					
				",2019-07-19,"viernes"
"Oficial Eléctrico","www.buscojobs.com.uy/oficial-electrico-ID-170870",2019-07-20 07:51:20,"CONAPROLE","RincóndelPino",NA,"Automatismos",NA,"Completa","Para Planta Industrial de Rincón del Pino, San JoséQuien resulte seleccionado/a se integrará al equipo electromecánico de la Planta Industrial y será responsable por el montaje, reparación y mantenimiento de instalaciones y equipos, de acuerdo a los objetivos establecidos por la Jefatura y Supervisión de Mantenimiento cumpliendo con los estándares establecidos por la organización.Principales responsabilidades:Realizar la reparación e instalación de los equipos, incluyendo cableado de red y telefonía, entre otros.Colaborar en tareas de montaje. Ejecutar las actividades previstas en los Planes de Mantenimiento, Procedimientos e Instructivos.Realizar tareas de desconexión, desarme, armado, lubricación, entre otras actividades.Completar la planilla de tareas y registros requeridos.Requisitos:Bachillerato Técnico Completo más curso de especialización, preferentemente Escuela Técnica Completa (UTU o similar) más especialización mecánica o eléctrica/electrónica, PLC, etc.Experiencia en la realización de tareas de similar responsabilidad.Disponibilidad para trabajar en horarios y descansos rotativos.Residencia en la zona de actividad de la Planta.Se valorará la capacidad de integrarse y trabajar en equipo, resolución de problemas e iniciativa.","Industria – Producción / Automatismos
										Industria – Producción / Mantenimiento Industrial
										Industria – Producción / Mecánica Industrial
										Industria – Producción / Montaje Industrial
										Oficios – Servicios Varios / Electricidad
								","
					
						
							
							
							Conocimientos: 
							
								Electricidad
										Ingeniería Eléctrica
										Electrotecnia
								Estudio Mínimo Necesario: Terciario Completo
						

						
					
					
				",2019-07-19,"viernes"
"Foguista- Frigorista","www.buscojobs.com.uy/foguista-frigorista-ID-170868",2019-07-20 07:51:20,"CONAPROLE","Montevideo","Montevideo","Mantenimiento Industrial",NA,"Completa","Para Complejo Industrial de MontevideoEl objetivo principal del puesto es asegurar el funcionamiento y control de todos los equipos vinculados a la sala de caldera y máquinas, de acuerdo a los objetivos establecidos por la Jefatura y Supervisión de Mantenimiento cumpliendo los estándares definidos por la organización.Principales responsabilidades:Operar y controlar los equipos asociados a la sala de caldera y máquinas, incluidos equipos de frío tanto autónomos como vinculados a producción y equipos de acondicionamiento de aire instalados en la planta.Operar y controlar sistemas de compresión de amoníaco.Mantener comunicación permanente con las diferentes áreas y líneas de producción.Efectuar los controles de calidad de servicios auxiliares, como temperatura, presiones, caudales, niveles en general, entre otros, registrándolos de acuerdo a la documentación establecida.Realizar las actividades de mantenimiento incluidas en los Planes de Mantenimiento de la planta y sus respectivos procedimientos e instructivos.Requisitos:Bachillerato técnico más curso de especialización en Refrigeración Industrial.Carné y habilitación de Foguista.Disponibilidad para realizar turnos y descansos rotativos. Se valorará la capacidad de integrarse y trabajar en equipo, resolución de problemas e iniciativa.","Industria – Producción / Mantenimiento Industrial
										Industria – Producción / Mecánica Industrial
										Industria – Producción / Operador de Maquinaria
										Oficios – Servicios Varios / Calefacción / Refrigeración
								","
					
						
							
							
							Conocimientos: 
							
								Refrigeración / Calefacción
										Foguista
								Estudio Mínimo Necesario: Terciario Completo
						

						
					
					
				",2019-07-19,"viernes"
"Project Manager","www.buscojobs.com.uy/project-manager-ID-170867",2019-07-20 07:51:20,"Practia Global","Montevideo","Montevideo","Análisis de Sistemas",NA,"Completa","¡Sé parte de nuestro equipo! Nos encontramos en la búsqueda de un Project Manager para hacer parte de nuestro equipo de Desarrollo.Requerimientos claves:-	Buena comunicación interpersonal-	Capacidad analítica para la resolución de problemas-	Liderazgo y capacidad para gestionar equipos de trabajo-	Background técnico en TI-	Fexibilidad y adaptabilidad- Experiencia en Gestión de Proyecto- Experiencia en aplicación de Metodologías ágilesQuien ingrese a esta posición deberá gestionar los distintos proyectos de la empresa, es importante que los interesados cuenten con una muy buena habilidad interpersonal que le permita reunirse con clientes y general contactos en pro de los resultados.","Tecnologías de la Información / Análisis de Sistemas
										Tecnologías de la Información / Consultoría
										Tecnologías de la Información / Gestión de Proyectos
										Tecnologías de la Información / Programación
								","
					
						
							
							
							Conocimientos: 
							
								Supervisión
										Metodología Scrum
										Gestión de Proyectos
								Estudio Mínimo Necesario: Terciario Incompleto
							Edad: Desde 25 Hasta 45 Años
						

						
					
					
				",2019-07-19,"viernes"
