"empresa","area","n_puestos","jornada","detalles","subareas","requisitos","ID","fecha_pub","puesto","fecha_scraping","h_pub","dia_pub","barrio_ciudad","dpto"
"Universidad De La República - Facultad De Humanidades Y Ciencias De La Educación","Cargos Estatales",NA,NA,"Descripción de la oferta de trabajo en Uruguay. Un (1) cargo de Asistente Historia Antigua y Medieval (Esc. G, Gr. 2, 20 hs sem.) del Departamento de HistoriaUniversal del Instituto de Ciencias Históricas, desde la toma de posesión y por el período reglamentario.Lugar de Recepción de Consultas:concursosfhuce@gmail.comTeléfono de Consultas:2400 2899","Cargos Estatales / Cargos Estatales
								","
					
						
							
							
						

						
					
					
				","www.buscojobs.com.uy/4719-asist-historia-antigua-y-medieval-ID-168742",2019-05-10,"47/19 Asist Historia Antigua Y Medieval",2019-08-08 01:48:07,"01:48:07","viernes","montevideo","montevideo"
"Universidad De La República - Facultad De Humanidades Y Ciencias De La Educación","Cargos Estatales",NA,NA,"Descripción de la oferta de trabajo en Uruguay. Un (1) cargo de Asistente de Ciencias Auxiliares de la Filología (Esc. G, Gr. 2, 18 hs sem.) del Departamento deFilología Clásica del Instituto de Letras desde la toma de posesión y por el período reglamentario.Lugar de Recepción de Consultas:concursosfhuce@gmail.comTeléfono de Consultas:2400 2899","Cargos Estatales / Cargos Estatales
								","
					
						
							
							
						

						
					
					
				","www.buscojobs.com.uy/4819-asist-cs-auxiliares-de-la-filolo-ID-168744",2019-05-10,"48/19 Asist Cs Auxiliares De La Filolo",2019-08-08 01:48:07,"01:48:07","viernes","montevideo","montevideo"
"Universidad De La República - Facultad De Humanidades Y Ciencias De La Educación","Cargos Estatales",NA,NA,"Descripción de la oferta de trabajo en Uruguay. Un (1) cargo de Profesor Adjunto (Esc. G, Gr. 3, 20 hs. sem.) del Dpto. De Historia del Uruguay del Instituto deCiencias Históricas desde la toma de posesión y por el período reglamentario.Lugar de Recepción de Consultas:concursosfhuce@gmail.comTeléfono de Consultas:2400 2899","Cargos Estatales / Cargos Estatales
								","
					
						
							
							
						

						
					
					
				","www.buscojobs.com.uy/4919-prof-adj-historia-del-uruguay-ID-168745",2019-05-10,"49/19 Prof Adj Historia Del Uruguay",2019-08-08 01:48:07,"01:48:07","viernes","uruguay","cerro largo"
"(Confidencial)","Contaduría",1,"Completa","Main Duties and ResponsibilitiesThe Accountant shall be responsible for providing accounting services for internal group companies (as needed), clients’ companies and investment funds.  He or she will also provide administrative support to outside accounting and audit firms in regards to clients’ companies to ensure timely reporting to the company’s country of incorporation authorities .Principal Activities:?	Prepare financial reports (annual accounts - including balance sheet, profit and loss statement, cash flow, and accounting principles and notes) according to International Accounting Standards for client companies and investment funds.?	Manage communication with client to obtain periodic financial information necessary to prepare the Financial Reports.?	Perform other tasks related to the accounting of client companies.?	Interface with clients having companies in countries where an outside or local accountant is necessary, assisting the local accountant to obtain timely and accurate information.?	Review NAV calculation for clients’ investment funds.?	Assist Relationship Managers in the preparation of supporting corporate documents, communication with international suppliers maintenance and incorporation of client’s entities..The position reports to the Montevideo Office Manager.Skills:?	3-4 years accounting experience?	Accounting-corporate knowledge, and accounting-financial knowledge (financial instruments)?	Knowledge of corporate structures, estate and tax planning will be considered a plus.?	Extensive knowledge of IFRS?	Proficient in English?	Portuguese will be considered a plus?	Advanced computer skills in Excel","Contabilidad – Auditoría – Finanzas / Contaduría
								","
					
						
							
							
							Conocimientos: 
							
								Administración Contable y Financiera
								Idiomas: 
							
							Inglés
								Portugués
							Estudio Mínimo Necesario: Terciario Completo
							Edad: Desde 25 Hasta 35 Años
						

						
					
					
				","www.buscojobs.com.uy/accountant-ID-170811",2019-07-20,"Accountant",2019-08-08 01:48:07,"01:48:07","sabado","montevideo","montevideo"
"(Confidencial)","Enfermería",NA,"Completa","Buscamos acompañantes de enfermos para la zona de Montevideo, Pando , Las Piedras y Costa de Oro.Requerimos:- Experiencia - Buena presencia- disponibilidad horariaOfrecemos: - Estabilidad laboral- Ingreso inmediato- Boletos gratuitos","Salud / Enfermería
										Salud / Medicina
										Salud / Medicina Alternativa
										Salud / Psicología
								","
					
						
							
							
							Conocimientos: 
							
								Servicio de acompañantes
										Enfermería
										Auxiliar en Enfermería
								Estudio Mínimo Necesario: Primaria Completa
							Edad: Desde 20 Hasta 70 Años
						

						
					
					
				","www.buscojobs.com.uy/acompanante-de-enfermos-ID-171122",2019-07-31,"Acompañante de Enfermos",2019-08-08 01:48:07,"01:48:07","miercoles","montevideo","montevideo"
"(Confidencial)","Babysitter",1,"Indiferente","¿Sientes deseos de acompañar parejas durante el proceso de embarazo y postparto?  ¿Tienes conocimientos en el área perinatal y quieres volcarlos en un empleo formal?  Si sos Doula certificada y/o estudiante avanzada de carreras vinculadas al acompañamiento en la salud y te interesa trabajar acompañando parejas, postulate para trabajar con nosotros. Buscamos personas que transmitan seguridad y tranquilidad a la mamá y su familia en el momento del nacimiento y/o durante el puerperio.","Oficios – Servicios Varios / Babysitter
										Oficios – Servicios Varios / Masajista
										Salud / Enfermería
										Salud / Medicina Alternativa
										Salud / Técnicos
										Especializaciones / Psicología
								","
					
						
							
							
							Conocimientos: 
							
								Cuidado de niños
										Masaje 
										Psicología
										Psicoterapia
								Estudio Mínimo Necesario: Terciario Incompleto
						

						
					
					
				","www.buscojobs.com.uy/acompanante-perinatal-ID-170884",2019-07-20,"Acompañante Perinatal",2019-08-08 01:48:07,"01:48:07","sabado","montevideo","montevideo"
"ITS-Infrastructure Technology Services","Business Intelligence (BI) / DataWarehousing",2,"Completa","Profesional egresado de la UDELAR o institutos reconocidos por el MEC de carreras de al menos 3 años de duración.Experiencia en la implantación de soluciones de Business Intelligence en organizaciones de mediano y gran porte.Experiencia en el manejo de Microsoft Project.Certificación en productos Microsoft de BI sobre SQL Server 2008 o superior.Manejo de lenguaje MDX, DMX Y SQL.Expeeriencia en la implementación bajo Performance Point, Excel Services, Power Pivot y Power View.Manejo de Team Foundation 2010 o superior.Buen manejo de inglés técnico.","Tecnologías de la Información / Business Intelligence (BI) / DataWarehousing
								","
					
						
							
							
							Conocimientos: 
							
								Especificaciones Técnicas
										Business Objects
										SQL Server
										TFS (Team Foundation Server)
								Estudio Mínimo Necesario: Terciario Completo
						

						
					
					
				","www.buscojobs.com.uy/administracion-y-desarrollo-de-business-intelligence-ID-171170",2019-07-30,"Administración y Desarrollo de Business Intelligence",2019-08-08 01:48:07,"01:48:07","martes","montevideo","montevideo"
"Abitab","Administración de Base de datos",NA,"Completa","¡Súmate al equipo técnico de ID-digital Abitab, primer proveedor de identidad de confianza acreditado! Las principales funciones del cargo son: •	Administrar, configurar y mantener Servidores de Aplicaciones, Sistemas Operativos y Base de Datos. •	Programar scriptings y administrar ambientes para el desarrollo, testing y producción de Software, estableciendo políticas de gestión y migración entre ellos.•	Investigar y proponer nuevas funcionalidades a las herramientas proporcionadas.•	Identificar posibilidades de crecimiento y desarrollo para los proyectos de los productos comerciales del área. Requisitos necesarios: •	Estudios terciarios en Ingeniería en Sistemas o Telecomunicaciones, Licenciatura en Informática, o Administrador de Servidores.•	Experiencia mínima de 1 año en mantenimiento de Servidores de Aplicaciones, Sistemas Operativos y Base de Datos.•	Conocimientos de SQL Server, DB2, Linux, JBOSS/Wildfly.","Tecnologías de la Información / Administración de Base de datos
										Tecnologías de la Información / Análisis de Sistemas
										Tecnologías de la Información / Arquitectura de Sistemas
										Tecnologías de la Información / Sistemas Operativos
								","
					
						
							
							
							Conocimientos: 
							
								Ingeniería en Telecomunicaciones
										Ingeniería de Sistemas/Computación/Software
										Base de datos
								Estudio Mínimo Necesario: Terciario Incompleto
						

						
					
					
				","www.buscojobs.com.uy/administrador-de-aplicaciones-y-base-de-datos-ID-171330",2019-08-02,"Administrador de aplicaciones y base de datos",2019-08-08 01:48:07,"01:48:07","viernes","montevideo","montevideo"
"Arnaldo C. Castro.","Administración de Base de datos",1,"Completa","Administrador de Base de DatosOrientamos nuestra búsqueda hacia estudiantes avanzados o egresados de carreras de Tecnologías de la información, Ingeniería de sistemas, informática, licenciado y/o similares.Se requiere:Sólidos conocimientos en gestión de base de datos, reportes e indicadores.Soporte a soluciones de correo                                                                            Gran capacidad de trabajo en equipo                                                                       Proactivo, buena comunicación.                                                                                           Buen trato con clientesSe valorará:Preferentemente estudiantes avanzados o graduados de la Carrera de Sistemas con un mínimo de tres años de experiencia.Se ofrece:Unirse al equipo de profesionales en una empresa con una sólida trayectoria y crecimiento. Posibilidad de desarrollo profesional, capacitación constante, excelente ambiente laboral.El presente aviso de búsqueda alcanza a personas comprendidas dentro de la Ley 19.691","Tecnologías de la Información / Administración de Base de datos
								","
					
						
							
							
							Conocimientos: 
							
								Documentación Técnica
										Backup y Recuperación de Bases de Datos
										Diseño de Bases de Datos
										Monitorización de Bases de Datos
										Rendimiento de Bases de Datos
										Base de datos
								Idiomas: 
							
							Inglés
							Estudio Mínimo Necesario: Terciario Completo
							Edad: Desde 25 Hasta 50 Años
						

						
					
					
				","www.buscojobs.com.uy/administrador-de-base-de-datos-ID-170992",2019-07-24,"Administrador de Base de Datos",2019-08-08 01:48:07,"01:48:07","miercoles","montevideo","montevideo"
"DCA Contadores y Asociados","HelpDesk / Soporte Técnico",NA,"Completa","DCA Servicios Profesionales selecciona un Administrador de Sistemas para Empresa Multinacional del rubro logístico.La persona seleccionada actuará como vínculo con el usuario.Entre sus responsabilidades se encuentran:-Mantener operacionales los computadores, laptops, servidores, comunicaciones y toda la tecnología que sostiene uno o varios sistemas.-Diagnosticará fallas de hardware y repararlos si fuese posible. Dará soporte al usuario en forma telefónica, mensajería o presencial.-Dará soporte al sistema informático y hará recorridas rutinarias a diferentes equipos de la empresa.-Participará en gestión de sistemas de soporte de la empresa (sistemas de accesos, interfaces con organismos del estado, antivirus, etc).-Administrará diversos sistemas de soporte a los sistemas centrales.-Administrará la red de distribución de datos-Participará en actividades de capacitación de la empresa-Verificará el correcto funcionamiento y disponibilidad de los sistemas y servicios, creando incidentes al detectar fallas.-Elaborará tutoriales, manuales e instructivos de uso de los sistemas.-Brindará capacitación y soporte a los usuarios.Requisitos:-Bachiller Tecnológico en Informática o similar, preferentemente con estudios terciarios en el área de Sistemas.-Mínimo un año de experiencia en mantenimiento de sistemas y redes.-Experiencia en ambientes Microsoft.Experiencia en configuración de switches y routers.Se valora trabajo en entorno Azure-SharepointHorario: Lunes a viernes de 9 a 18hs","Tecnologías de la Información / HelpDesk / Soporte Técnico
										Tecnologías de la Información / Sistemas Operativos
								","
					
						
							
							
							Conocimientos: 
							
								Soporte a Sistemas de Ofimática
								Estudio Mínimo Necesario: Secundaria Incompleta
						

						
					
					
				","www.buscojobs.com.uy/administrador-de-sistemas-para-empresa-multinacional-ID-170784",2019-07-16,"Administrador de Sistemas para Empresa Multinacional",2019-08-08 01:48:07,"01:48:07","martes","montevideo","montevideo"
