"puesto","Empresa","Departamento","Ciudad","fecha","fecha_scraping"
"Asistente de calidad y control de procedimientos","InfrastructureTechnologyServices","Montevideo","Montevideo","Hoy, 01:46 p. m.",2018-12-11 14:21:33
"Gestor de Morosos telefonico - Vespertino","Teleservicios","Montevideo","Montevideo","Hoy, 01:43 p. m.",2018-12-11 14:21:33
"Aprendiz Electricista  - Jovenes en busqueda de su primera experiencia laboral ","ManpowerGroup","Montevideo","Montevideo","Hoy, 01:42 p. m.",2018-12-11 14:21:33
"Vendedor de Mostrador (Montevideo) - Experiencia previa en ventas ","ManpowerGroup","Montevideo","Montevideo","Hoy, 01:36 p. m.",2018-12-11 14:21:33
"Encargado de local gastronómico","GoddardCateringGroup","Canelones","PasoCarrasco","Hoy, 01:31 p. m.",2018-12-11 14:21:33
"Desarrollador","Aglh","Montevideo","Montevideo","Hoy, 01:31 p. m.",2018-12-11 14:21:33
"Vendedor de productos masivos con cartera de clientes - Horario a convenir","DistribuidoraMaroñas","Montevideo","Montevideo","Hoy, 01:31 p. m.",2018-12-11 14:21:33
"Vendedor telefonico - Agente de ventas de Antel","MOVIGROUP","Montevideo","Montevideo","Hoy, 01:31 p. m.",2018-12-11 14:21:33
"Desarrollador Full Stack junior","TechGroupS.R.L.","Montevideo","Montevideo","Hoy, 01:31 p. m.",2018-12-11 14:21:33
"Mucama - para hotel","ArambotySA","Montevideo","Montevideo","Hoy, 01:31 p. m.",2018-12-11 14:21:33
"Aux. Administrativo - para Filial Pando","SECOM","Canelones","Pando","Hoy, 01:31 p. m.",2018-12-11 14:21:33
"Técnico electricista, carpintería, soldadura - contrato zafral, ingreso inmediato","DCAContadoresyAsociados","Canelones","ColoniaNicolich","Hoy, 01:19 p. m.",2018-12-11 14:21:33
"Ejecutivo de venta telefónica","RCILatinoamérica","Montevideo","Montevideo","Hoy, 11:53 a. m.",2018-12-11 14:21:33
"Jefe de Investigación y BI","Advice","Montevideo","Montevideo","Hoy, 11:53 a. m.",2018-12-11 14:21:33
"representantes de ventas para la ciudad de New York EE.UU - Con o sin experiencia ","S.C.JOHNSON&SONDEURUGUAYS.A.","Montevideo","Montevideo","Hoy, 11:53 a. m.",2018-12-11 14:21:33
"Cadete  - para temporada en Punta del Este","WorkOfficeS.A.","Maldonado","PuntaDelEste","Hoy, 11:53 a. m.",2018-12-11 14:21:33
"Mobile IOS Developers - con inglés","Oktana","Montevideo","Montevideo","Hoy, 11:53 a. m.",2018-12-11 14:21:33
"Analista base de datos SQL","CertuS","Montevideo","Montevideo","Hoy, 11:53 a. m.",2018-12-11 14:21:33
