"puesto","Empresa","Departamento","Ciudad","fecha","fecha_scraping","links"
"Chofer con libreta C excluyente - Ruta 101","ManpowerGroup","Canelones","PasoCarrasco","Hoy, 05:05 p. m.",2018-12-12 17:33:49,"/ofertas-de-trabajo/oferta-de-trabajo-de-chofer-con-libreta-c-excluyente-ruta-101-en-paso-carrasco-CBD38E8587F8B7B661373E686DCF3405"
"Cadete temporal - del 26/12/18 al 18/01/19 ","ManpowerGroup","Montevideo","Montevideo","Hoy, 04:59 p. m.",2018-12-12 17:33:49,"/ofertas-de-trabajo/oferta-de-trabajo-de-cadete-temporal-del-261218-al-180119--en-montevideo-32A79B80E3CC170261373E686DCF3405"
"Auxiliar de almacén","GRUPOND","Montevideo","Montevideo","Hoy, 02:38 p. m.",2018-12-12 17:33:49,"/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-almacen-en-montevideo-E722F02BE3ED601761373E686DCF3405"
"Vendedor / a - Vendedor free lance","INDUSTRIALMOLINERACA","Montevideo","Montevideo","Hoy, 02:38 p. m.",2018-12-12 17:33:49,"/ofertas-de-trabajo/oferta-de-trabajo-de-vendedor-a-vendedor-free-lance-en-montevideo-03466DE9F1783CB061373E686DCF3405"
"Técnico en Sistemas Operativos y Redes IP - Telefónica","Tgestiona","Montevideo","Montevideo","Hoy, 02:38 p. m.",2018-12-12 17:33:49,"/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-en-sistemas-operativos-y-redes-ip-telefonica-en-montevideo-84AB78BFC71CB6B461373E686DCF3405"
"Gerente - de tesorería y finanzas","Curbelo&Cianci","Montevideo","Montevideo","Hoy, 02:38 p. m.",2018-12-12 17:33:49,"/ofertas-de-trabajo/oferta-de-trabajo-de-gerente-de-tesoreria-y-finanzas-en-montevideo-0C184B42A422E2D061373E686DCF3405"
"Cadete - para reconocida Importadora en zona centro","WorkOfficeS.A.","Montevideo","Montevideo","Hoy, 02:38 p. m.",2018-12-12 17:33:49,"/ofertas-de-trabajo/oferta-de-trabajo-de-cadete-para-reconocida-importadora-en-zona-centro-en-montevideo-EB693966A117DBD561373E686DCF3405"
"Ventas  - por Redes Sociales","EMEEmprende","Montevideo","Montevideo","Hoy, 02:38 p. m.",2018-12-12 17:33:49,"/ofertas-de-trabajo/oferta-de-trabajo-de-ventas--por-redes-sociales-en-montevideo-6AC012B9DCD5B3BA61373E686DCF3405"
"Mantenimiento para hotel en punta del este","Hotelterrazadelmar","Maldonado","PuntaBallena","Hoy, 02:38 p. m.",2018-12-12 17:33:49,"/ofertas-de-trabajo/oferta-de-trabajo-de-mantenimiento-para-hotel-en-punta-del-este-en-punta-ballena-F354E74ECA58412A61373E686DCF3405"
"Ayudante de cocina para restaurante de hotel - ofrecemos alojamiento","Hotelterrazadelmar","Maldonado","PuntaBallena","Hoy, 02:38 p. m.",2018-12-12 17:33:49,"/ofertas-de-trabajo/oferta-de-trabajo-de-ayudante-de-cocina-para-restaurante-de-hotel-ofrecemos-alojamiento-en-punta-ballena-740D98AA6FC6598E61373E686DCF3405"
"Sushiman con Experiencia - Noche","MariaPeñaCarlosAlanis","Montevideo","Montevideo","Hoy, 02:38 p. m.",2018-12-12 17:33:49,"/ofertas-de-trabajo/oferta-de-trabajo-de-sushiman-con-experiencia-noche-en-montevideo-5EE8959C2BA32DA461373E686DCF3405"
