"puesto","empresa","nivel","area","fecha","detalle","fecha_scraping"
"AUXILIAR CONTABLE","ANTONIO OLLERO GONZALEZ","Auxiliar","Finanzas - Contabilidad - Auditoria","Hace 1 mes ","Contabilizar documentación en Memory para posteriormente liquidar los impuestos mensuales. (IVA, IRAE, IP, IRPF) Liquidación de sueldos en Memory y envío d ...",2018-11-24 01:28:53
"ARMADOR Y CADETE PARA MUEBLERIA","Artico Muebles","Oficial","Producción","Hace 1 mes ","Armador de muebles y cadeteria Se valora experiencia Presentarse en Avenida Italia 2799 esquina Centenario a partir del Lunes 01 de Octubre a las 10 am. -  ...",2018-11-24 01:28:53
"LABORATORISTA DENTAL","OAM","Técnico / Especialista","Salud","Hace 1 mes ","Se busca laboratorista dental  para trabajar en clínica privada , realizándose principalmente trabajos de rehabilitación con ceromeros, metales y cerámicas ...",2018-11-24 01:28:53
"VENDEDOR-CHOFER","FROGRONE S.A","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","REQUISITOS - de 24 a 35 años - Sexo Masculino -Ciclo Básico Aprobado -Muy buenas relaciones interpersonales y comunicacionales -Proactivo -Cartera de Clien ...",2018-11-24 01:28:53
"AYUDANTE DE COCINA","Rotiseria","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Produccion, despacho, limpieza, control de stock básico. Horario de lunes a viernes al medio día 4hs a 6hs diarias. Buena presencia y predisicion a las tar ...",2018-11-24 01:28:53
"ENCARGADA DE TIENDA - MERCEDES SORIANO","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Seleccionamos encargado de local comercial.  Se valorará experiencia en gestión y conducción de equipos de trabajo.  Será responsable de la planificación ...",2018-11-24 01:28:53
"ENCARGADA/O DE TIENDA EN RIVERA","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Seleccionamos encargado de local comercial.  Se valorará experiencia en gestión de equipos de trabajo y ventas.  Será responsable de la planificación, su ...",2018-11-24 01:28:53
"SUPERVISOR COMERCIAL PARA SALTO Y PAYSANDÚ","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Empresa líder en Indumentaria femenina selecciona: Supervisor Comercial para el departamento de Salto y Paysandú.  Nos orientamos a la búsqueda de persona ...",2018-11-24 01:28:53
"CADETE C/MOTO PROPIA NOCHERO","Importante empresa","Auxiliar","Cadetería - Cobranzas","Hace 1 mes ","Importante empresa del rubro farmacéutico busca cadete c/moto propia para el turno de la noche.  La búsqueda se orienta a personas con gran conocimiento de ...",2018-11-24 01:28:53
"ENCARGADO/A DE TIENDA-MALDONADO","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Se valorará experiencia en gestión de equipos de trabajo y ventas.  Será responsable de la planificación, supervisión y cumplimiento de objetivos.  Gestión ...",2018-11-24 01:28:53
"CADETE","Importante empresa","Auxiliar","Cadetería - Cobranzas","Hace 1 mes ","Cadeteria Para casa de repuestos lunes a viernes de 9.30 a 18.30  Sábado de 8.30 a 12 hrs  Sueldo liquido $ 15.000",2018-11-24 01:28:53
"OFICIAL SANITARIO","Importante empresa","Oficial","Producción","Hace 1 mes ","necesitamos oficiales sanitarios con experiencia en obras en construccion. las normales, cumplimiento de horario y reglas de trabajo. respetar normas de se ...",2018-11-24 01:28:53
"MAESTRO CONFITERO","Panaderia Jhonnys","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Confiteria en gral. Orden y limpieza Cumplir con el horario Llegar en hora",2018-11-24 01:28:53
"CARPINTERO CON TALLER PROPIO.","Empresa","Técnico / Especialista","Servicios - Oficios","Hace 1 mes ","Carpinteros con taller propio para muebles, exhibidores, cocinas etc.  Se valorará muy positivamente sepan lustrar o pintar a soplete y tengan medio propio ...",2018-11-24 01:28:53
"ADMINISTRATIVO CATEGORÍA SENIOR 1 Y 2.","Importante empresa","Auxiliar","Administración - Secretariado","Hace 1 mes ","Se solicita Estudiante de Ciencias Económicas de cualquier institución académica habilitada por el MEC para desempeñar funciones en Gerencia de sector Comp ...",2018-11-24 01:28:53
"GUARDIAS DE SEGURIDAD PARA CIUDAD RÍO BRANCO (CERRO LARGO)","SILDAN","Auxiliar","Seguridad - Vigilancia","Hace 1 mes ","Guardias de seguridad para la Ciudad de Río Branco SE OFRECE:  Salario superior al laudo, más presentismo. Ingreso inmediato y estabilidad laboral.  Inc ...",2018-11-24 01:28:53
"GUARDIAS DE SEGURIDAD.","","Auxiliar","Seguridad - Vigilancia","Hace 1 mes ","Guardias de Seguridad para ciudad de Rio Branco Requisitos: Mayor de 25 años Excelente presencia Disponibilidad horaria Control de salud vigente/Certificad ...",2018-11-24 01:28:53
"ACOMPAÑANTE","Cuidadora de enfermos.Sanatorio y Domicilio","Auxiliar","Salud","Hace 1 mes ","Acompañamte en sanatorio y Domicilio Dentro de la Tarea todo",2018-11-24 01:28:53
"PROMOTORA PARA REPARTIR VOLANTES","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","SE SOLICITAN CHICAS PARA REPARTIR VOLANTES EN VÍA PUBLICA PARA IMPORTANTE CENTRO EDUCATIVO. CHICAS PRO ACTIVAS, CON BUEN PERFIL. SE VALORARA EXPERIENCIA PR ...",2018-11-24 01:28:53
"EMPRESARIO INDEPENDIENTE","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Crear cartera de clientes, venta. Seguimiento  y servicio post venta. Atender a usuarios en forma personalizada.  Formar y liderar equipo de trabajo. Manej ...",2018-11-24 01:28:53
"SUBENCARGADO ","Reconocido Grupo gastronomico","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Reconocida empresa nacional con múltiples emprendimientos gastronómicos y mas de 30 años en el mercado selecciona para nuevo local en PUNTA CARRETAS: - SU ...",2018-11-24 01:28:53
"PARTICIPANTES","Importante empresa","Otros","Llamados - Concursos","Hace 1 mes ","Mayores de 18 años, con propósitos que cumplir, buscando recursos financieros para continuar con sus vidas, registrarse en www.smilefactorygroup.com o escr ...",2018-11-24 01:28:53
"CADETE PARA DELIVERY 8-18HS","Pañalera en Casa","Auxiliar","Cadetería - Cobranzas","Hace 1 mes ","Seleccionamos cadetes con moto para delivery de pañales y artículos de pañalera a domicilio.  La remuneración se calcula en base al combustible consumido i ...",2018-11-24 01:28:53
"OPERADOR DE CONSOLA","centro de monitoreo","Peon","Producción","Hace 1 mes ","Operador de consola para atención de alarmas  se valorara experiencia en seguridad preferentemente retirado militar o policial  con residencia en la Ciudad ...",2018-11-24 01:28:53
"AUXILIAR CONTABLE","Estudio Contable","Auxiliar","Finanzas - Contabilidad - Auditoria","Hace 1 mes ","Registraciones contables, tramites ante organismos publicos y privados, conciliaciones, confección recibos sueldo, nóminas y planillas de trabajo, etc. Inh ...",2018-11-24 01:28:53
"ENCARGADO DE SALÓN","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Importante restaurante en el Prado busca encargado de salón. Con conocimientos y amplia experiencia en el rubro, buen relacionamiento interpersonal. Ordena ...",2018-11-24 01:28:53
"PEÓN","TEREFEL SA","Peon","Servicios - Oficios","Hace 1 mes ","CHOFER CHOFER",2018-11-24 01:28:53
"COCINERA PARA HOTEL","HOTEL BAHAMAS","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Todo lo relacionado al puesto de trabajo, cocinar para grupos y a la carta, repostería para desayunos. Turno Nocturno de 16 a 00 Capacidad de trabajar en e ...",2018-11-24 01:28:53
"LIDERAZGO DE EQUIPOS","Hacia el futuro","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Capacitación propia y de equipos Liderazgo y motivación de equipos Profesionalizar actitudes propias y de equipos tanto en el área de ventas, como  de inte ...",2018-11-24 01:28:53
"AUXILIAR ADMINISTRATIVO CONTABLE","Importante empresa","Asistente","Finanzas - Contabilidad - Auditoria","Hace 1 mes ","Tareas administrativas, liquidación de sueldo , manejo de programas contables. Empresa selecciona  Axuliar Contable, estudiante o egresado de facultad. Hor ...",2018-11-24 01:28:53
"AYUDANTE DE CALIDAD (SUPLENCIA LICENCIA MATERNAL)","Importante empresa","Analista","Producción","Hace 1 mes ","- Analisis microbiológico - Control de proceso - Desarrollo de producto - Registro Colaboración en todas las tareas de control de calidad.",2018-11-24 01:28:53
"PARRILLERO, PLANCHERO, COCINERO","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","LIMPIEZA, PRODUCCION, ELABORACION, ETC PUNTUALIDAD, HIGIENE, TRABAJO EN EQUIPO, ELABORACION, CONTROL STOCK, ETC",2018-11-24 01:28:53
"BACHERA","Restorán","Auxiliar","Servicios - Oficios","Hace 1 mes ","Limpieza general del establecimiento  Limpieza de Bacha y Cocina Lista de insumos de limpieza. Limpieza general y profunda del establecimiento",2018-11-24 01:28:53
"MOZO/BARMAN","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Controlar Stock Servido y preparado de bebidas Servicio a la mesa Preparado de fruta, corte y lavado Responsable de limpieza del bar, Control de Stock y pe ...",2018-11-24 01:28:53
"VENDEDOR","","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Importante avícola busca incorporar a su staff vendedor, se valorará que cuente con experiencia en el mercado (no excluyente), gran motivación por superar  ...",2018-11-24 01:28:53
"TÉCNICO  DE CAMPO","NETTRA ","Técnico / Especialista","Tecnologías de la información","Hace 1 mes ","Tareas: •	Realizar la instalación, puesta en marcha de los proyectos, y su posterior mantenimiento operativo. •	Mantener una comunicación fluida con los cl ...",2018-11-24 01:28:53
"JEFE DE FLOTA","ADVICE","Supervisor / Encargado","Producción","Hace 1 mes ","Supervisar y administrar la operativa en relación a la flota, recursos materiales, y recursos humanos vinculados al sector.  Dirigir y planificar los servi ...",2018-11-24 01:28:53
"BACHERO/LIMPIEZA","Importante empresa","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Limpieza y órden de los útiles de cocina, será responsable de mantener la limpieza del local (baños, cocina, bacha, etc). Estará bajo el mando del jefe de  ...",2018-11-24 01:28:53
"TOP SYSTEMS: ARQUITECTO DE SOFTWARE (ORIENTADO A SERVICIOS)","ADVICE","Analista","Tecnologías de la información","Hace 1 mes ","Desde 1987 generamos soluciones tecnológicas innovadoras, que se constituyen en partes fundamentales del funcionamiento de cada uno de nuestros clientes.  ...",2018-11-24 01:28:53
"OFICIAL CHAPISTA AUTOMOTRIZ","darma car","Oficial","Servicios - Oficios","Hace 1 mes ","Estamos en la búsqueda de un Oficial chapista para taller de chapa y pintura automotriz. Con experiencia mínima 1 año (excluyente)   Chapa automotriz ",2018-11-24 01:28:53
"ESTUDIANTES DE CONTADOR PÚBLICO PARA INCORPORARSE AL DEPARTAMENTO IMPOSITIVO","","Asistente","Administración - Secretariado","Hace 1 mes ","AUREN Capital Humano selecciona Estudiantes de Contador Público para incorporarse al departamento Impositivo de la firma.  Orientamos la busqueda a Estudi ...",2018-11-24 01:28:53
"ASISTENTE DE EVENTOS","Importante empresa","Asistente","Administración - Secretariado","Hace 1 mes ","Buscamos Personas con formación en Marketing y/o Comunicación que cuenten con experiencia en posiciones de similar responsabilidad. Competencias claves: c ...",2018-11-24 01:28:53
"JEFE COMERCIAL Y DE MARKETING","Importante empresa","Jefe","Marketing - Publicidad","Hace 1 mes ","Buscamos: Personas con marcado perfil comercial y formación en Marketing, Comunicación, Ventas, o similar. Será excluyente contar con experiencia previa e ...",2018-11-24 01:28:53
"AUXILIAR CONTABLE","Importador","Auxiliar","Finanzas - Contabilidad - Auditoria","Hace 1 mes ","Ingreso de Cajas , control de deudores , ingreso de comprobantes en contabilidad, conciliaciones Reporta directamente con el Contador .",2018-11-24 01:28:53
"PARTICIPANTE","Importante empresa","Otros","Llamados - Concursos","Hace 1 mes ","Ingresar a www.smilefactorygroup.com leer las bases del concurso, registrarse y concursar. O hacerlo por instagram smilefactorygroup Importante completar e ...",2018-11-24 01:28:53
"PARTICIPANTE","Importante empresa","Otros","Llamados - Concursos","Hace 1 mes ","Participación en planes de corta duración y ganar dinero sin compromiso más que consigo mismo. Cumplir un plan de trabajo y generar dinero por tu esfuerzo. ...",2018-11-24 01:28:53
"AUXILIAR DE LIMPIEZA","CLEANING SERVICE","Auxiliar","Servicios - Oficios","Hace 1 mes ","Se solicita auxiliares de limpieza para edificios y empresas  principalmente  Barrido, lavado de pisos, limpieza de escritorios, baños , vidrios (internos) ...",2018-11-24 01:28:53
"ENCARGADO DE ADMINISTRACIÓN Y VENTAS","JORGE SANTANA","Auxiliar","Administración - Secretariado","Hace 1 mes ","Control de: -  facturación - pagos - presupuestos - procesos internos La persona debe ser: - Pro-activa - experiente - versátil - dinámica",2018-11-24 01:28:53
"TÉCNICO VERTICAL","Abismo Construcciones","Medio Oficial","Construcción - Arquitectura","Hace 1 mes ","Reparaciones en general,  pintura, hidrolavados Cumplimiento de horario y tareas designadas",2018-11-24 01:28:53
"PRODUCCIÓN - ELABORACIÓN","Importante empresa","Peon","Producción","Hace 1 mes ","Elaboración y mantenimiento de insumos para alimentación. Media",2018-11-24 01:28:53
"TORNERO","Importante empresa","Técnico / Especialista","Producción","Hace 1 mes ","Procesos Mecanizados, Reparación de piezas de camión, balanceo de cardanes. Tareas relativas al cargo. Búsqueda orientada a Torneros con estudios y experie ...",2018-11-24 01:28:53
"GESTOR ","Importante empresa","Asistente","Administración - Secretariado","Hace 1 mes ","Tendrá bajo su responsabilidad todo tipo de gestiones en entes públicos y privados así como el control del vencimiento de habilitaciones, certificados y do ...",2018-11-24 01:28:53
"TESORERO","Importante empresa","Supervisor / Encargado","Finanzas - Contabilidad - Auditoria","Hace 1 mes ","El objetivo principal del puesto es la gestión operativa de la tesorería, teniendo a su cargo las siguientes tareas: Manejo de flujo de fondos, efectuar l ...",2018-11-24 01:28:53
"EJECUTIVO DE VENTAS PARA PRODUCTOS DE CONSUMO","Importante importadora y distribuidora","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Se busca persona con dedicación full time de lunes a viernes que reporta directamente al Director. Su función es la venta de productos de consumo menage, o ...",2018-11-24 01:28:53
"EMPRESAS DISTRIBUIDORAS MONTEVIDEO E INTERIOR","MOLINO GUIDO","Auxiliar","Logística - Distribución","Hace 1 mes ","Distribución de nueva línea de productos Sin Gluten Distribución de nueva línea de productos Sin Gluten",2018-11-24 01:28:53
"VENDEDOR/A","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Venta de Almanaques y Regalos Empresariales Vendedores/as para Montevideo e Interior",2018-11-24 01:28:53
"VENDEDOR/A","","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Se necesitan vendedores Venta de Almanaques y Regalos Empresariales Excelente comision Sin inversión gane $$ Extra Part o Full Time - No Exclusivos Incorpo ...",2018-11-24 01:28:53
"VENDEDOR/A","","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Ventas Venta de Almanaques y Regalos Empresariales Excelente comision Sin inversión gane $$ Extra Part o Full Time - No Exclusivos Incorpore otro rubro a s ...",2018-11-24 01:28:53
"VENDEDOR/A","","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Venta Venta de Almanaques y Regalos Empresariales Excelente comision Sin inversión gane $$ Extra Part o Full Time - No Exclusivos Incorpore otro rubro a su ...",2018-11-24 01:28:53
"PROFESOR/A DE CHINO","C&B INSTITUTE","Profesional","Educación - Recreación - Deportes","Hace 1 mes ","Clases individuales y/o grupales de chino mandarin Dictar clases de chino mandarin",2018-11-24 01:28:53
"VENDEDOR","","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Venta Venta de Almanaques y Regalos Empresariales Excelente comision Sin inversión gane $$ Extra Part o Full Time - No Exclusivos Para Melo, Treinta y Tres ...",2018-11-24 01:28:53
"VENDEDOR/A","","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Venta Venta de Almanaques y Regalos Empresariales Excelente comision Sin inversión gane $$ Extra Part o Full Time - No Exclusivos Para Durazno,Florida, San ...",2018-11-24 01:28:53
"VENDEDOR/A","Importante Fabrica","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Ventas Venta de Almanaques y Regalos Empresariales Excelente comision Sin inversión gane $$ Extra Part o Full Time - No Exclusivos Para Artigas, Rivera, Ta ...",2018-11-24 01:28:53
"VENDEDOR/A","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Venta Venta de Almanaques y Regalos Empresariales Excelente comision Sin inversión gane $$ Extra Part o Full Time - No Exclusivos Para Young, Fray Bentos,  ...",2018-11-24 01:28:53
"AUX. ADMINISTRATIVO","Inmobiliaria - Pocitos","Auxiliar","Administración - Secretariado","Hace 1 mes ","Liquidación de gastos comunes, atención a clientes y proveedores.  Liquidación de gastos comunes, atención a clientes y proveedores. ",2018-11-24 01:28:53
"PIZZERO, ELABORADOR.","Bon Appetit","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Se necesita pizzero, con experiencia (excluyente) Referencias comprobables. El aspirante debera elaborar la pizza, por metro y pizzetas. Elaboracion de fai ...",2018-11-24 01:28:53
"OFICIAL Y MEDIO OFICIAL","Importante empresa","Oficial","Producción","Hace 1 mes ","Oficial y medio oficial para carpinteria en Maldonado.  Carpintero de taller.",2018-11-24 01:28:53
"PERSONAL FEMENINO TAREAS VARIAS. TURNO NOCHE","Importante empresa rubro gastronomico","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Funciones:  <U+F0FC>	Realizar el armado de las ordenes de pedidos.   <U+F0FC>	Entrega de los pedidos a los clientes. <U+F0FC>	Colaboración en el sector de la cocina.  <U+F0FC>	Limpiez ...",2018-11-24 01:28:53
"INGENIERO INDUSTRIAL MECÁNICO","ADVICE","Profesional","Producción","Hace 1 mes ","Seleccionamos para importante industria ubicada en Rivera. Buscamos: Profesionales universitarios de Ingeniería Mecánica. Buen dominio del idioma inglés.  ...",2018-11-24 01:28:53
