"puesto","empresa","nivel","area","fecha","detalle","dpto","fecha_scraping"
"LICENCIADO EN TRABAJO SOCIAL - RECIÉN RECIBIDO (DURAZNO, COLONIA, MALDONADO, CANELONES Y RIVERA)","CONEBAN","Asistente","Trabajo Social – Pasantías","Hace 1 mes ","Nos encontramos en la búsqueda de Licenciados en Trabajo Social para desempeñarse en proyecto de inclusión social en las localidades de: DURAZNO, COLONIA,  ...","durazno",2018-12-11 20:23:07
"ARQUITECTO SOBRESTANTE OBRA FLORIDA","AYC CONSTRUCTORA","Profesional","Construcción - Arquitectura","Hace 4 semanas ","SOBRESTANTE PARA OBRA FLORIDA  Excluyente titulo de Arquitecto Dedicación Part- Time (4hs mínimo) Con radicación en la ciudad o a no mas de 50km de la mism ...","florida",2018-12-11 20:23:07
"COORDINADOR LOGÍSTICO","Importante empresa","Jefe","Logística - Distribución","Hace 1 mes ","Nuestro cliente – una importante multinacional agroindustrial – busca incorporar para su operación en Salto, Uruguay a un profesional con experiencia en Co ...","salto",2018-12-11 20:23:07
"ENCARGADA DE TIENDA - MERCEDES SORIANO","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Seleccionamos encargado de local comercial.  Se valorará experiencia en gestión y conducción de equipos de trabajo.  Será responsable de la planificación,  ...","soriano",2018-12-11 20:23:07
"INGENIERO INDUSTRIAL MECÁNICO","Andritz","Profesional","Producción","Hace 4 semanas ","¿Quieres el desafío? Responsable de planificar la realización de los trabajos del área (preventivos, predictivos y correctivos), teniendo en cuenta dispon ...","rio-negro",2018-12-11 20:23:07
"SUPERVISOR DE CALDERAS","Buscamos para Andritz","Jefe","Producción","Hace 1 mes ","¿Es tu perfil? Nuestra búsqueda se orienta a Tecnólogos Mecánicos con formación previa en mecánica industrial o automotriz, Mecánicos Aeronavales, Ingenie ...","rio-negro",2018-12-11 20:23:07
"ALQUILE O ADMINISTRE EL RESTAURANTE","El Diablo Tranquilo Resto & Bar","Supervisor / Encargado","Hotelería - Gastronomía - Turismo","Hace 1 semana ","Opere todas las áreas del restaurante El Diablo Tranquilo ubicado directamente en Playa Rivero en Punta del Diablo. Trabaje con la mejor infraestructura d ...","rocha",2018-12-11 20:23:07
"MANAGER DE MANTENIMIENTO","El Diablo Tranquilo Hostel","Supervisor / Encargado","Producción","Hace 1 semana ","Se busca persona de mantenimiento que se encuentre comodo con mantenimiento general en todas las areas, experiencia comercial en electricidad, plomeria, te ...","rocha",2018-12-11 20:23:07
"OPERARIO PRÁCTICO ELEVADORISTA PARA SUPLENCIA","Importante empresa","Auxiliar","Logística - Distribución","Hace 1 mes ","EN LA CIUDAD DE ROCHA - DEPARTAMENTO DE ROCHA. - Acondicionamiento y empaque de materiales. - Carga, descarga y acarreo de mercancías y materiales varios,  ...","rocha",2018-12-11 20:23:07
" DOCENTE / LICENCIADO EN ENFERMERÍA","CEHS (Centro de Educación Humanizada para la Salud)","Técnico / Especialista","Salud","Hace 1 mes ","La búsqueda se orienta a Licenciados en Enfermería para docencia en Escuela de Enfermería. Requisitos : poseer título validado por MEC y MSP. Disponibilida ...","san-jose",2018-12-11 20:23:07
"PSICOPEDAGOGO/A - FONOAUDILOGO/A - PSICOMOTRICISTA","Centro CIPRES","Profesional","Salud","Hace 6 días ","Acompañamiento terapéutico con infantes. Acompañamiento terapéutico con infantes.","san-jose",2018-12-11 20:23:07
"SEGURIDAD","EMSUR","Auxiliar","Seguridad - Vigilancia","Hace 4 semanas ","Control de materiales existentes al tomar el turno control de accesos cerrados ( puertas y ventanas) Luces y bombas de agua en funcionamiento Correcto port ...","san-jose",2018-12-11 20:23:07
"MECÁNICO DE MOTOS PARA CIUDAD DEL PLATA","UPA.MOTOS auxilio","Técnico / Especialista","Producción","Hace 1 mes ","Upamotos está buscando ampliar sus servicios de auxilio en CIUDAD DEL PLATA, para lo que busca mecánicos preferentemente con taller de motos propio, con de ...","san-jose",2018-12-11 20:23:07
"DIRECTOR GENERAL","Centro Educativo Privado en el Departamento de Colonia","Gerente","Directivos - Ejecutivos","Hace 1 semana ","Para liderar el proyecto educativo de la institución, buscamos:  •	 Personas con título docente y acentuada vocación por la enseñanza •	 Formación y experi ...","colonia",2018-12-11 20:23:07
"ENCARGADO GENERAL TAMBO/AGRICULTURA/GANADERÍA","Bolsa de Trabajo Rural del Uruguay","Supervisor / Encargado","Producción","Hace 3 semanas ","Sera el responsable de la coordinación de todos los trabajos de campo, supervisión y registros. Tendrá un grupo de 15 personas a su cargo. Deberá tener bue ...","colonia",2018-12-11 20:23:07
"AUXILIAR ADMINISTRATIVO","Importante empresa","Auxiliar","Administración - Secretariado","Hace 1 mes ","cumplir funciones de administrativas cumplir funciones de administrativas","colonia",2018-12-11 20:23:07
"EMPRESA = OPORTUNIDAD","OPORTUNIDAD ONLINE","Ejecutivo Comercial","Hotelería - Gastronomía - Turismo","Hace 1 semana ","ATENCION!! Empresa De Turismo, 18 Años de Trayectoria Da  Oportunidad Única, Tiempo Limitado. Emprende Tu Propio Negocio! Acceso Super Accesible!! Pasajes  ...","colonia",2018-12-11 20:23:07
"ENCARGADO DE RESATURANT","Importante empresa en Colonia","Supervisor / Encargado","Ventas - Comercial","Hace 3 semanas ","Encargado de personal  Encargado de funcionamiento  Manejo de efectivo Puesto vacante para llevar la organización de Restaurant, y administracion !! Dispon ...","colonia",2018-12-11 20:23:07
"DELIVERY CON MOTO PARA PUNTA DEL ESTE","Logistica21","Auxiliar","Cadetería - Cobranzas","Hace 2 semanas ","Horario de 12 a 16 y de 20 a 24. Puesto fijo, trabajo para todo el año. Pago por semana. Se necesita Delivery con MOTO propia, en condiciones y documentos  ...","maldonado",2018-12-11 20:23:07
"ADMINISTRATIVO CONTABLE ( PARA TRABAJAR EN MALDONADO)","AUREN","Auxiliar","Administración - Secretariado","Hace 1 mes ","Auren Capital Humano selecciona para empresa ubicada en MALDONADO,  vinculada a la construcción un Administrativo Contable.  Orientamos nuestra búsqueda a ...","maldonado",2018-12-11 20:23:07
"VENDEDOR PARA IMPORTANTE CONCESIONARIA DE AUTOMÓVILES EN PUNTA DEL ESTE","AGLH Consultores","Ejecutivo Comercial","Ventas - Comercial","Hace 4 días ","Orientamos la búsqueda a profesionales en el área de ventas, con sólido perfil comercial y experiencia en ventas y atención a clientes. Es requisito residi ...","maldonado",2018-12-11 20:23:07
"COCINERA PARA PUNTA DEL ESTE POR TEMPORADA","Importante empresa","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 semana ","Seleccionamos: Cocinera con experiencia para casa de familia para trabajar por la temporada en Punta del Este, desde el 20/12/2018 al 4/ 03/2019. Sexo Feme ...","maldonado",2018-12-11 20:23:07
"TÉCNICO DE MANTENIMIENTO PARA PLANTA LÁCTEA EN MALDONADO","  ","Técnico / Especialista","Producción","Hace 3 semanas ","Velar por el buen funcionamiento electromecánico de la planta. Será responsable por el buen funcionamiento electromecánico de su turno de producción.","maldonado",2018-12-11 20:23:07
"EMPRENDEDOR VENDEDOR","Lpasociados","Ejecutivo Comercial","Ventas - Comercial","Hace 4 semanas ","Se integran personas que esten en la busqueda de trabajo independiente. VENTAS y LIDERAZGO con facilidad de palabra para contacto en frio o por internet co ...","maldonado",2018-12-11 20:23:07
"AUXILIAR ESTUDIO CONTABLE","Asesoria Contable","Auxiliar","Administración - Secretariado","Hace 1 mes ","Liquidacion de sueldos IyC y construcción  Confeccion de nominas Secretaria Liquidacion de sueldos","maldonado",2018-12-11 20:23:07
"RESPONSABLE DE OBRA","ejd costructora","Profesional","Construcción - Arquitectura","Hace 1 mes ","responsable de obra y de proyectos estamos en la busqueda de arquitectos con ganas de progresar y crecer a nivel profecional y economico . con muchas oport ...","maldonado",2018-12-11 20:23:07
"ENCARGADO/A DE TIENDA-MALDONADO","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Seleccionamos encargado de local comercial.  Se valorará experiencia en gestión y conducción de equipos de trabajo.  Será responsable de la planificación,  ...","maldonado",2018-12-11 20:23:07
