"puesto","empresa","nivel","area","fecha","detalle","dpto","link","fecha_scraping"
"ENCARGADO PARA ESTABLECIMIENTO AGRÍCOLA- GANADERO EN ZONA DE SARANDÍ DEL YÍ","Importante empresa","Técnico / Especialista","Agroindustria","Hace 1 mes ","La persona será responsable de la ejecución del proyecto agrícola-ganadero con sistemas de producción intensiva con terminación en feedlot. - Profesionales ...","florida","/anuncio/encargado-para-establecimiento-agricola-ganadero-en-zona-de-sarandi-del-yi-6vu7m",2019-05-23 14:47:54
"ESPECIALISTA EN COMPENSACIONES Y NÓMINA","Montes del Plata","Supervisor / Encargado","Ventas - Comercial","Hace 2 semanas ","La posición supervisará la gestión de una nómina relevante y diversa, en coordinación con el partner externo que brinda soporte en esta área. Asegurará la  ...","colonia","/anuncio/especialista-en-compensaciones-y-nomina-g4v4q",2019-05-23 14:47:54
"JEFE DE OPERACIONES","AUREN","Jefe","Logística - Distribución","Hace 4 semanas ","Auren Capital Humano selecciona Jefe de Operaciones para importante empresa de transporte de carga en el departamento de Colonia. Orientamos nuestra búsqu ...","colonia","/anuncio/jefe-de-operaciones-qrgbp",2019-05-23 14:47:54
"SUPERVISOR DE CALIDAD DE OPERACIONES FORESTALES","UPM Forestal Oriental","Supervisor / Encargado","Producción","Hace 2 semanas ","UPM Forestal Oriental selecciona SUPERVISOR DE CALIDAD de Operaciones Forestales para la Zona Centro y Norte del Pais (Con base en Durazno o Tacuarembó) E ...","durazno","/anuncio/supervisor-de-calidad-de-operaciones-forestales-9q7r3",2019-05-23 14:47:54
"VENDEDOR/A DEPARTAMENTO DURAZNO","FORTER S.A","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas ","NO POSTULARSE SI NO VIVE EN DURAZNO! Nos encontramos en la búsqueda de vendedores y cajeros con experiencia en el rubro indumentaria para nuestro local ub ...","durazno","/anuncio/vendedor-a-g6pst",2019-05-23 14:47:54
"MAESTRO PANADERO","Panaderia Solis (Solis de mataojo)","Técnico / Especialista","Servicios - Oficios","Hace 3 semanas ","Maestro panadero Amasado Dirigir Personal Controlar Supervisar ordenar mando","lavalleja","/anuncio/maestro-panadero-8d4e9",2019-05-23 14:47:54
"PEÓN RURAL","Fundación La Muralla","Peon","Servicios - Oficios","Hace 1 mes ","Realizar tareas varias y prácticas en apoyo al equipo de trabajo. Realizar pinturas simples, mover equipamientos, poda y desmalezado, uso de motosierra. In ...","lavalleja","/anuncio/peon-rural-aus4r",2019-05-23 14:47:54
"GERENTE DE CONTABILIDAD","Importante empresa","Gerente","Directivos - Ejecutivos","Hace 1 semana ","Conocimientos técnicos - Título de Contador Público - Experiencia previa mayor a 7 años en posiciones similares   - Manejo de herramientas informáticas (M ...","salto","/anuncio/gerente-de-contabilidad-eda5h",2019-05-23 14:47:54
"VENDEDOR/A DE SERVICIOS - SALTO","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Empresa de ventas de servicios veterinarios en la ciudad de SALTO selecciona: Vendedor/a de servicios. Buscamos un perfil con amplia vocación y experienci ...","salto","/anuncio/vendedor-a-de-servicios-v754d",2019-05-23 14:47:54
"RESPONSABLE DE RECURSOS HUMANOS - SALTO","Importante empresa","Supervisor / Encargado","Recursos Humanos","Hace 1 mes ","Empresa líder de servicios en SALTO selecciona: Responsable de RRHH. El cargo reporta a Dirección y tiene como objetivo diseñar, planificar y ejecutar la ...","salto","/anuncio/responsable-de-recursos-humanos-6tqhq",2019-05-23 14:47:54
"DELIVERY","Charly Food","Auxiliar","Cadetería - Cobranzas","Hace 1 semana ","Empresa nueva en rubro comidas selecciona personal para Delivery. Se apunta a personas interesadas en pertenecer a una empresa con muy buenas condiciones d ...","san-jose","/anuncio/delivery-uavgb",2019-05-23 14:47:54
"ENCARGADO DE VENTAS","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","CAPTAR NUEVOS CLIENTES Y POTENCIAR LOS ACTUALES AMPLIAR CARTERA DE CLIENTES MONTEVIDEO E INTERIOR","san-jose","/anuncio/encargado-de-ventas-daatr",2019-05-23 14:47:54
"GUARDIAS DE SEGURIDAD (LIBERTAD - CIUDAD DEL PLATA)","GRUPO RELUCE","Auxiliar","Seguridad - Vigilancia","Hace 1 mes ","Importante empresa de seguridad selecciona: GUARDIAS DE SEGURIDAD (ÚNICAMENTE HOMBRES) que residan en las ciudades de Libertad y Ciudad del Plata. Se ofre ...","san-jose","/anuncio/guardias-de-seguridad-libertad-ciudad-del-plata-77qn6",2019-05-23 14:47:54
"CONTADOR JUNIOR","Coopace","Profesional","Finanzas - Contabilidad - Auditoria","Hace 2 días ","Contador Junior Capacidad de relacionamiento y de trabajo en equipo. Aptitud para desarrollar tareas bajo la exigencia de cumplimiento de objetivos. Domini ...","rio-negro","/anuncio/contador-junior-qnavn",2019-05-23 14:47:54
"JEFE DEL ÁREA DE RIESGO DE LA INSTITUCIÓN ","Coopace","Auxiliar","Administración - Secretariado","Hace 2 días ","Funciones: •	Evaluar riesgo de diferentes segmentos •	Analizar indicadores de gestión •	Definir causas de impacto en los diferentes estados de riesgo •	Pro ...","rio-negro","/anuncio/jefe-del-area-de-riesgo-de-la-institucion-tb5y5",2019-05-23 14:47:54
"MECÁNICO AGRÍCOLA Y/O VIAL PARA EMPRESA LÍDER DEL SECTOR AGRÍCOLA.","  ","Técnico / Especialista","Producción","Hace 5 días ","Requisitos:  •Formación técnica en Mecánica-Electricidad automotriz, electro hidráulico. (Don Bosco, FPS, CETP-UTU). (no excluyente).  •Experiencia en oper ...","rio-negro","/anuncio/mecanico-agricola-y-o-vial-para-empresa-lider-del-sector-agricola-apb2g",2019-05-23 14:47:54
"VENDEDOR","EL oferton","Ejecutivo Comercial","Ventas - Comercial","Hace 1 semana ","SE BUSCA PAREJA DE EXTRANJEROS CON RESIDENCIA, PREFERENTEMENTE SIN HIJOS, BUENA PRESENCIA, INDISPENSABLE TENER BUEN TRATO CON LOS CLIENTES, SE FACILITA VIV ...","rio-negro","/anuncio/vendedor-b39d6",2019-05-23 14:47:54
"AYUDANTES DE OBRA - PREPARACIÓN UTU IEC","Deloitte","Auxiliar","Construcción - Arquitectura","Hace 2 días ","El objetivo del Ayudante de UTU-IEC es dar asistencia técnica al Director de Obra en el control y ejecución de las obras de construcción vial de referencia ...","interior","/anuncio/ayudantes-de-obra-preparacion-utu-iec-2p46y",2019-05-23 14:47:54
"AYUDANTES IDÓNEOS DE OBRA","Deloitte","Medio Oficial","Construcción - Arquitectura","Hace 2 días ","El objetivo principal del Ayudante de Obra es dar asistencia técnica en el control y ejecución de las obras de construcción vial de referencia. Buscamos pe ...","interior","/anuncio/ayudantes-idoneos-de-obra-ypge4",2019-05-23 14:47:54
"COORDINADOR GENERAL","CALAI","Supervisor / Encargado","Ventas - Comercial","Hace 4 semanas ","-Planificar, dirigir y coordinar la gestión de servicios prestados por la empresa a sus productores. -Coordinación continua con los responsables de cada ár ...","interior","/anuncio/coordinador-general-9mjjb",2019-05-23 14:47:54
"DISTRIBUIDOR","Importante empresa","Auxiliar","Logística - Distribución","Hace 1 mes ","Ventas en todos los departamentos del país Incorporar nuestros productos en su cartera de clientes . Cobranza.","interior","/anuncio/distribuidor-ea6uu",2019-05-23 14:47:54
