"puesto","empresa","nivel","area","fecha","detalle","link","departamento","fecha_scraping"
"AUXILIAR CONTABLE","","Auxiliar","Finanzas - Contabilidad - Auditoria","Hace 6 días ","Requisitos:

•	Estudiante avanzado de Ciencias Económicas o egresados de EDA
•	Radicado en Las Piedras o cercanía. 
•	Buena escolaridad
•	Proactivo, Ordena ...","https://trabajo.gallito.com.uy/anuncio/auxiliar-contable-yjus2","canelones",2019-10-17 16:10:35
"LAVADOR DE COCHES","","Auxiliar","Servicios - Oficios","Hace 1 semana ","Lavado completo, aspirado completo, limpieza total del vehiculo.
Fundamental y excluyente tener libreta de conducir. Es una rentadora de coche por lo tanto ...","https://trabajo.gallito.com.uy/anuncio/lavador-de-coches-pu736","canelones",2019-10-17 16:10:35
"DELIVERY CON MOTO PARA LAS PIEDRAS","","Auxiliar","Cadetería - Cobranzas","Hace 1 semana ","Para el horario de la noche, de 19 a 24. Conozca la zona, buena presencia, responsable y con ganas de trabajar. Se necesita Delivery con MOTO para reparto  ...","https://trabajo.gallito.com.uy/anuncio/delivery-con-moto-para-las-piedras-pmvmg","canelones",2019-10-17 16:10:35
"COCINERA Y ATENCION AL PUBLICO PARA ROTISERIA Y PANADERIA PINAMAR","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 1 semana ","Elaboración de menú.
Atención al público. Limpieza del sector.
Reposición.","https://trabajo.gallito.com.uy/anuncio/cocinera-y-atencion-al-publico-para-rotiseria-y-panaderia-pinamar-4yzsm","canelones",2019-10-17 16:10:35
"REPOSICIÓN Y TAREAS DE DEPÓSITO EN SUPERMERCADO (ZONA PINAMAR)","","Auxiliar","Ventas - Comercial","Hace 1 semana ","Solamente se tomará en cuenta currículum con experiencia comprobable en supermercado. + Reposición del salón
+ Tareas de depósito, carga, descarga, etc. ...","https://trabajo.gallito.com.uy/anuncio/reposicion-y-tareas-de-deposito-en-supermercado-zona-pinamar-2gygn","canelones",2019-10-17 16:10:35
"VENDEDOR","Guia para tu salud","Ejecutivo Comercial","Ventas - Comercial","Hace 1 semana ","Ventas directa al publico 
Seguimiento a la cartelera de clientes 
Manejo de redes sociales 
Postura de negocios Persona productiva,disciplinado,
responsab ...","https://trabajo.gallito.com.uy/anuncio/vendedor-sn632","canelones",2019-10-17 16:10:35
"DE SISTEMAS DE SEGURIDAD (ALARMA, CÁMARAS DE VIDEO VIGILANCIA E INCENDIO","Importante empresa","Oficial","Servicios - Oficios","Hace 1 semana ","Empresa en Ciudad de la Costa solicita:

1)TÉCNICO DE SEGUNDA:

- Instalador de sistemas de alarma, cámaras de video vigilancia e incendio.
- Experiencia c ...","https://trabajo.gallito.com.uy/anuncio/de-sistemas-de-seguridad-alarma-camaras-de-video-vigilancia-e-incendio-qy7q8","canelones",2019-10-17 16:10:35
"VENDEDOR MOSTRADOR","electrolapaz","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","venta en mostrador. es excluyente que tenga conocimientos de materiales electricos. atender de forma agil y amable al cliente,
mantenimiento y limpieza del ...","https://trabajo.gallito.com.uy/anuncio/vendedor-mostrador-vdj69","canelones",2019-10-17 16:10:35
"VIGILANTE O GUARDIA PARA SUPERMERCADO EN PINAMAR.","IMPORTANTE SUPERMERCAD EN PINAMAR","Auxiliar","Seguridad - Vigilancia","Hace 3 semanas ","Seguridad para salón de supermercado.
Control de los empleados, de compras. Vigilante   o guardia   para supermercado  viva próximo a la zona de pinamar.","https://trabajo.gallito.com.uy/anuncio/vigilante-o-guardia-para-supermercado-en-pinamar-3rnj8","canelones",2019-10-17 16:10:35
"SECRETARIA ADMINISTRATIVA","Importante empresa","Asistente","Administración - Secretariado","Hace 3 semanas ","SE NECESITA SECRETARIA ADMINISTRATIVA PARA SUPERMERCADO EN COSTA DE ORO CON EXPERIENCIA Y MANEJO DE SCANNTECH Y MEMORY CARGA HORARIA: 4 HORAS

EXPERIENCIA  ...","https://trabajo.gallito.com.uy/anuncio/secretaria-administrativa-z38nh","canelones",2019-10-17 16:10:35
"ENCARGADO PARA IMPORTANTE SUPERMERCADO","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 3 semanas ","ENCARGADO PARA IMPORTANTE SUPERMERCADO EN LA COSTA DE ORO.

BUSCAMOS PERSONA CON EXPERIENCIA EN EL RUBRO (SE VALORARÁ EXPERIENCIA EN CADENAS).

BUEN MANEJO ...","https://trabajo.gallito.com.uy/anuncio/encargado-para-importante-supermercado-v5vqn","canelones",2019-10-17 16:10:35
"PANADERO","Importante empresa","Técnico / Especialista","Servicios - Oficios","Hace 3 semanas ","realizar producción de panificados varios de acuerdo a la orden de producción que se le indique,  cumplir con los procedimientos establecidos tener carnet  ...","https://trabajo.gallito.com.uy/anuncio/panadero-rgrbb","canelones",2019-10-17 16:10:35
"CARNICERO","Importante empresa","Auxiliar","Servicios - Oficios","Hace 3 semanas ","REALIZAR DESHUESADO DE POLLOS,  DESARME DE MEDIA RES, PROCESAMIENTO DE MERCADERIA REQUERIDA, LIMPIEZA DE HERRAMIENTAS Y AREAS DE TRABAJO deberá tener Carne ...","https://trabajo.gallito.com.uy/anuncio/carnicero-qbdr6","canelones",2019-10-17 16:10:35
