"puesto","empresa","nivel","area","fecha","detalle","link","departamento","fecha_scraping"
"CONTADOR/A PARA ESTUDIO CONTABLE","ESTUDIO CONTABLE EN PANDO","Profesional","Finanzas - Contabilidad - Auditoria","Hace 1 día ","Liquidación de Impuestos
Asesoramiento
Confección de DJ
Apoyo en Liquidación de sueldos

Part Time
Se valorará experiencia en estudio contable -","https://trabajo.gallito.com.uy/anuncio/contador-a-para-estudio-contaboe-57bjg","canelones",2019-11-10 20:09:42
"OFICIAL CARPINTERO O 1/2 OFICIAL CARPINTERO","Oficial o 1/2 oficial carpintero","Oficial","Producción","Hace 3 días ","Todo tipo de trabajos de carpintería Las correspondientes al cargo","https://trabajo.gallito.com.uy/anuncio/oficial-carpintero-o-1-2-oficial-carpintero-5az4a","canelones",2019-11-10 20:09:42
"AUXILIAR CONTABLE ADMINISTRATIVO","ESTUDIO CONTABLE EN PANDO","Asistente","Finanzas - Contabilidad - Auditoria","Hace 5 días ","Contabilización de comprobantes - Memory
Manejo de conexión remota BPS
Liquidación de sueldos - GNS
Trámites BPS, DGI
Atención a clientes

REQUISITO EXCLUY ...","https://trabajo.gallito.com.uy/anuncio/auxiliar-contable-administrativo-g469a","canelones",2019-11-10 20:09:42
"VENDEDOR. - PART-TIME /FULL-TIME","VENTASs","Ejecutivo Comercial","Ventas - Comercial","Hace 5 días ","Nos encontramos en busca de jóvenes con carácter emprendedor para el área de ventas, con vocación de servicio en atención y asesoramiento al cliente. 
Hora ...","https://trabajo.gallito.com.uy/anuncio/vendedor-part-time-full-time-qpsth","canelones",2019-11-10 20:09:42
"FEMENINA - EGRESADA O ESTUDIANTE AVANZADA","Palmas y Robles SPA ","Auxiliar","Servicios - Oficios","Hace 1 semana ","Egresada o 
Estudiante avanzada en Tecnicatura de Fisioterapia
para acondicionamiento y rehabilitación física y 
deportiva. Responsabilidades :
+ Escolarid ...","https://trabajo.gallito.com.uy/anuncio/asistente-de-limpieza-yhjga","canelones",2019-11-10 20:09:42
"DISTRIBUIDOR VENDEDOR","Blanca fuentes","Auxiliar","Logística - Distribución","Hace 2 semanas ","Ventas y Distribuciòn. Productos de buena rotaciòn y de.consumo masivo. Mayor de 18 años.  Buena presencia. Deseos de superaciòn. Hàbito de trabajo.","https://trabajo.gallito.com.uy/anuncio/distribuidor-vendedor-h2s5m","canelones",2019-11-10 20:09:42
"OPERARIO/A PARA COSECHA- CON/SIN EXPERIENCIA SAN JACINTO","Kairos Servicios","Peon","Servicios - Oficios","Hace 2 semanas ","Kairos se encuentra en la búsqueda de operarios/as para el área de cosecha, se valora experiencia (no es excluyente). La persona deberá contar con responsa ...","https://trabajo.gallito.com.uy/anuncio/operario-a-para-cosecha-con-sin-experiencia-san-jacinto-5n2dm","canelones",2019-11-10 20:09:42
"AYUDANTE DE PANADERO","SUPERMERCADO IMPERIO DEL ESTE EN PINAMAR","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 2 semanas ","Armado de pan,bizcochos y toda la mercadería que elabore el maestro panadero.
Mantener limpieza del local y los utensillos de trabajo. Personal todas las á ...","https://trabajo.gallito.com.uy/anuncio/ayudante-de-panadero-6mea2","canelones",2019-11-10 20:09:42
"AUXILIAR CONTABLE","","Auxiliar","Finanzas - Contabilidad - Auditoria","Hace 4 semanas ","Requisitos:

•	Estudiante avanzado de Ciencias Económicas o egresados de EDA
•	Radicado en Las Piedras o cercanía. 
•	Buena escolaridad
•	Proactivo, Ordena ...","https://trabajo.gallito.com.uy/anuncio/auxiliar-contable-yjus2","canelones",2019-11-10 20:09:42
"LAVADOR DE COCHES","","Auxiliar","Servicios - Oficios","Hace 1 mes ","Lavado completo, aspirado completo, limpieza total del vehiculo.
Fundamental y excluyente tener libreta de conducir. Es una rentadora de coche por lo tanto ...","https://trabajo.gallito.com.uy/anuncio/lavador-de-coches-pu736","canelones",2019-11-10 20:09:42
"DELIVERY CON MOTO PARA LAS PIEDRAS","","Auxiliar","Cadetería - Cobranzas","Hace 1 mes ","Para el horario de la noche, de 19 a 24. Conozca la zona, buena presencia, responsable y con ganas de trabajar. Se necesita Delivery con MOTO para reparto  ...","https://trabajo.gallito.com.uy/anuncio/delivery-con-moto-para-las-piedras-pmvmg","canelones",2019-11-10 20:09:42
"COCINERA Y ATENCION AL PUBLICO PARA ROTISERIA Y PANADERIA PINAMAR","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Elaboración de menú.
Atención al público. Limpieza del sector.
Reposición.","https://trabajo.gallito.com.uy/anuncio/cocinera-y-atencion-al-publico-para-rotiseria-y-panaderia-pinamar-4yzsm","canelones",2019-11-10 20:09:42
"REPOSICIÓN Y TAREAS DE DEPÓSITO EN SUPERMERCADO (ZONA PINAMAR)","","Auxiliar","Ventas - Comercial","Hace 1 mes ","Solamente se tomará en cuenta currículum con experiencia comprobable en supermercado. + Reposición del salón
+ Tareas de depósito, carga, descarga, etc. ...","https://trabajo.gallito.com.uy/anuncio/reposicion-y-tareas-de-deposito-en-supermercado-zona-pinamar-2gygn","canelones",2019-11-10 20:09:42
"VENDEDOR","Guia para tu salud","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Ventas directa al publico 
Seguimiento a la cartelera de clientes 
Manejo de redes sociales 
Postura de negocios Persona productiva,disciplinado,
responsab ...","https://trabajo.gallito.com.uy/anuncio/vendedor-sn632","canelones",2019-11-10 20:09:42
"DE SISTEMAS DE SEGURIDAD (ALARMA, CÁMARAS DE VIDEO VIGILANCIA E INCENDIO","Importante empresa","Oficial","Servicios - Oficios","Hace 1 mes ","Empresa en Ciudad de la Costa solicita:

1)TÉCNICO DE SEGUNDA:

- Instalador de sistemas de alarma, cámaras de video vigilancia e incendio.
- Experiencia c ...","https://trabajo.gallito.com.uy/anuncio/de-sistemas-de-seguridad-alarma-camaras-de-video-vigilancia-e-incendio-qy7q8","canelones",2019-11-10 20:09:42
"VENDEDOR MOSTRADOR","electrolapaz","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","venta en mostrador. es excluyente que tenga conocimientos de materiales electricos. atender de forma agil y amable al cliente,
mantenimiento y limpieza del ...","https://trabajo.gallito.com.uy/anuncio/vendedor-mostrador-vdj69","canelones",2019-11-10 20:09:42
"VIGILANTE O GUARDIA PARA SUPERMERCADO EN PINAMAR.","IMPORTANTE SUPERMERCAD EN PINAMAR","Auxiliar","Seguridad - Vigilancia","Hace 1 mes ","Seguridad para salón de supermercado.
Control de los empleados, de compras. Vigilante   o guardia   para supermercado  viva próximo a la zona de pinamar.","https://trabajo.gallito.com.uy/anuncio/vigilante-o-guardia-para-supermercado-en-pinamar-3rnj8","canelones",2019-11-10 20:09:42
