"link","puesto","empresa","nivel","area","fecha","detalle","dpto","fecha_scraping","Responsabilidades","Funciones","Requisitos"
"/anuncio/abitab-cajera-6d7vd","ABITAB CAJERA",NA,"Auxiliar","Ventas - Comercial","Hace 2 semanas ","Cajera en ABITAB de lunes a viernes de 8:30 a 17:30 hs EXPERIENCIA, RESPONSABILIDAD,  Y DISPONIBILIDAD. resposabilidad inherente al cargo.","montevideo",2019-05-05 19:55:55,"
            resposabilidad inherente al cargo.        ","
            Cajera en ABITAB de lunes a viernes de 8:30 a 17:30 hs
EXPERIENCIA, RESPONSABILIDAD,  Y DISPONIBILIDAD.        ",NA
"/anuncio/abitab-cajeras-y-encargado-con-experiencia-8bj4p","ABITAB CAJERAS Y ENCARGADO CON EXPERIENCIA LABORAL EN UN LOCAL DE ABITAB (ES UN REQUISITO)","Intelecom","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","Se necesita un encargado/a y un cajero/a para un local para un local Abitab en la zona del Prado(Millan y Castro) con experiencia anterior de haber trabaja ...","montevideo",2019-05-05 19:55:55,"
            Atender un local de Abitab        ","
            Se necesita un encargado/a y un cajero/a para un local para un local Abitab en la zona del Prado(Millan y Castro) con experiencia anterior de haber trabajado en un local de Abitab (por favor es un requerimiento indispensable).         ","
                Bachillerato secundaria en otros.                                Manejo de programas:Windows xp a basico.                Idioma Español a avanzado."
"/anuncio/abogado-6puah","ABOGADO",NA,"Profesional","Legal","Hace 1 semana "," ABOGDO Junior para escritos de  mero trámite, dedicación full, horario juzgados, Enviar C.V con Aspiraciones excluyentes ","montevideo",2019-05-05 19:55:55,"
            ABOGDO Junior para escritos de  mero trámite, dedicación full, horario juzgados, Enviar C.V con Aspiraciones excluyentes","
                    ",NA
"/anuncio/abogado-corporativo-8ybrg","ABOGADO CORPORATIVO","ADVICE","Profesional","Legal","Hace 1 mes ","Seleccionamos para Importante Grupo. Buscamos: Profesionales egresados de la carrera de Doctor en Derecho (excluyente). Avanzado dominio de inglés.  Exper ...","montevideo",2019-05-05 19:55:55,"
            
La posición implica la responsabilidad por brindar asesoramiento y soporte legal a todas las áreas de la empresa. 
La misma incluye;
Será responsable por la elaboración, análisis y revisión de contratos, documentos con entidades privadas y gubernamentales.
Realizará, estructurará, supervisará y analizará contratos con proveedores y clientes.
Supervisará la emisión de documentación de la empresa que conlleve responsabilidad legal.
Realizará el seguimiento a los temas vinculados al área legal de todo el grupo. Coordinará las asesorías externas (abogados y escribanos).        ","
            Seleccionamos para Importante Grupo.
Buscamos:
Profesionales egresados de la carrera de Doctor en Derecho (excluyente). Avanzado dominio de inglés. 
Experiencia laboral en posiciones de similar responsabilidad, en el ámbito corporativo, consultoras o estudios jurídicos, con especial enfoque en el área contractual (contratos comerciales, de construcción, acuerdos PPA, etc).        ",NA
"/anuncio/acompanante-9ha66","ACOMPAÑANTE",NA,"Auxiliar","Logística - Distribución","Hace 3 semanas "," ACOMPAÑANTE de reparto, tareas de deposito. Se ofrece sueldo acorde y estabilidad. Enviar CV c/ foto y aspiraciones","montevideo",2019-05-05 19:55:55,"
            ACOMPAÑANTE de reparto, tareas de deposito. Se ofrece sueldo acorde y estabilidad. Enviar CV c/ foto y aspiraciones        ","
                    ",NA
"/anuncio/acompanante-de-chofer-8p8py","ACOMPAÑANTE DE CHOFER","Chacra bilu ","Auxiliar","Logística - Distribución","Hace 1 mes ","Buscamos los mejores Chóferes repartidores (con experiencia en cargos similares) Importante distribuidora de frutas y verduras con mas de 250 clientes en C ...","montevideo",2019-05-05 19:55:55,"
            Buscamos los mejores Chóferes repartidores (con experiencia en cargos similares)
Importante distribuidora de frutas y verduras con mas de 250 clientes en Centro C.vieja Pocitos Punta Carretas Carrasco y Malvin
Reparto y entrega de Pedidos, control de calidad de la mercadería
Cuenta con una etapa de un mes de aprendizaje  y realiza tareas en el local y sale como acompañante 
Luego de finalizada la etapa se evalúa el desempeño pasando a ocupar ocupar el cargo de repartidor 
Se le sera asignado un vehículo y cartera de clientes el cual sera su responsabilidad mantener ya que tiene comisiones por venta 
Sueldo + comisiones+ canasta de alimentos 
horario de 5:30 a 13:30 con descanso intermedio pago 
buscamos personas Dinámicas destacado trato con el publico  y ganas de crecimiento ","
            Buscamos los mejores Chóferes repartidores (con experiencia en cargos similares)
Importante distribuidora de frutas y verduras con mas de 250 clientes en Centro C.vieja Pocitos Punta Carretas Carrasco y Malvin
Reparto y entrega de Pedidos, control de calidad de la mercadería
Cuenta con una etapa de un mes de aprendizaje  y realiza tareas en el local y sale como acompañante 
Luego de finalizada la etapa se evalúa el desempeño pasando a ocupar ocupar el cargo de repartidor 
Se le sera asignado un vehículo y cartera de clientes el cual sera su responsabilidad mantener ya que tiene comisiones por venta 
Sueldo + comisiones+ canasta de alimentos 
horario de 5:30 a 13:30 con descanso intermedio pago 
buscamos personas Dinámicas destacado trato con el publico  y ganas de crecimiento ",NA
"/anuncio/acompanante-de-chofer-zona-las-piedras-ep9b8","ACOMPAÑANTE DE CHOFER - ZONA LAS PIEDRAS","AGLH Consultores","Auxiliar","Logística - Distribución","Hace 1 mes ","Buscamos Acompañante de Chofer para importante empresa Multinacional dedicada al rubro de alimentos.   Nos orientamos a personas con ciclo básico completo, ...","canelones",2019-05-05 19:55:55,"
            Será responsable de realizar la carga y descarga de mercadería, trato con los clientes, manejo de efectivo, entre otras tareas inherentes al cargo. 
Eventualmente será responsable del manejo del camión.        ","
            Buscamos Acompañante de Chofer para importante empresa Multinacional dedicada al rubro de alimentos.  
Nos orientamos a personas con ciclo básico completo, que cuente con libreta de conducir profesional y experiencia mínima a dos años manejando camiones. 
Es requisito excluyente residir cercano a la zona de Las Piedras.        ","
                                Experiencia de 2 años en el área de Otra."
"/anuncio/acompanante-de-servicio-rvmaq","ACOMPAÑANTE DE SERVICIO PARA SUC MALDONADO","Amec Amec Amec","Auxiliar","Salud","Hace 1 mes ","Requisitos: •	Secundaria: Ciclo básico con tercer año aprobado •	Se valorará experiencia en la tarea. •	Se valorará formación en cuidados.  Te brindamos:  ...","maldonado",2019-05-05 19:55:55,"
            AMEC, selecciona acompañantes profesionales para Sucursal Maldonado.
 Si contas con: 
o	Una fuerte vocación de servicio.
o	Calidez humana. 
o	Voluntad y disposición. 
o	Habilidad para adaptarte a diferentes situaciones de cuidados.
o	Profesionalismo en la tarea de cuidar. 
Te esperamos en AMEC!        ","
            Requisitos:
•	Secundaria: Ciclo básico con tercer año aprobado
•	Se valorará experiencia en la tarea.
•	Se valorará formación en cuidados. 
Te brindamos:
•	Excelente ambiente laboral.
•	Excelente remuneración.
•	Capacitación profesional en cuidados.
Funciones:
•	Responsable de brindar una compañía personalizada en cada servicio. 
•	Estar atento a los requerimientos del socio.
•	Observar y cubrir sus necesidades de manera integral.
•	Aportar  bienestar y calidad de vida.        ",NA
"/anuncio/acompanantes-4qunz","ACOMPAÑANTES",NA,"Auxiliar","Salud","Hace 3 semanas "," Con experiencia  Carné de salud y disponibilidad horaria para Montevideo","montevideo",2019-05-05 19:55:55,"
            Con experiencia 
Carné de salud y disponibilidad horaria para Montevideo        ","
                    ",NA
"/anuncio/administracion-y-logistica-part-time-rpsgb","ADMINISTRACIÓN Y LOGÍSTICA PART TIME - EXCLUYENTE EXPERIENCIA MANEJO STOCK","Rewo Uruguay ","Auxiliar","Administración - Secretariado","Hace 1 mes ","Se trata de una propuesta Part time de 4 hrs con posibilidad de extenderse a 8 hrs. Se busca personal de sexo femenino con formación administrativa, logíst ...","montevideo",2019-05-05 19:55:55,"
            Preparación de pedidos
Control de stock
Mantenimiento del depósito
Colaboración en tareas varias
Cobranzas        ","
            Se trata de una propuesta Part time de 4 hrs con posibilidad de extenderse a 8 hrs.
Se busca personal de sexo femenino con formación administrativa, logística o similar, para el control de stock y gestión administrativa de mercadería.
Procuramos una persona dinámica, ordenada, responsable, con orientación al detalle y al seguimiento de pendientes. 
Deberá contar con experiencia similar, EXCLUYENTE EXPERIENCIA EN MANEJO DE STOCK, así como buen manejo de herramientas informáticas y cobranzas.        ","
                Formación profesional básica en administración.                                Manejo de programas:Office a intermedio."
