"link","puesto","empresa","nivel","area","fecha","detalle","departamento","fecha_scraping","Responsabilidades","Funciones","Requisitos"
"https://trabajo.gallito.com.uy/anuncio/abogado-a-estudio-juridico-tpy8a","ABOGADO/A / ESTUDIO JURÍDICO","","Profesional","Legal","Hace 3 semanas "," ABOGADO/A / ESTUDIO JURÍDICO

Management Fiduciario y Profesional SA en su calidad de Fiduciario selecciona Abogado/a o Estudio Jurídico para asesoramient ...","montevideo",2019-11-01 16:20:32,"
            ABOGADO/A / ESTUDIO JURÍDICO
Management Fiduciario y Profesional SA en su calidad de Fiduciario selecciona Abogado/a o Estudio Jurídico para asesoramiento en materia de administración de Patrimonio Fideicomitido. Se valorará experiencia en materia contractual, civil, comercial, y litigiosos. ","
                    ",NA
"https://trabajo.gallito.com.uy/anuncio/account-manager-dudp9","ACCOUNT MANAGER","CONVIXION","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","¿Te gusta vender?
¿Te desafía fidelizar a tus clientes y generar nuevos?
¡Te proponemos sumarte a nuestro equipo de ventas para que puedas hacerlo!
Si cont ...","montevideo",2019-11-01 16:20:32,"
            Es requisito excluyente contar con vehículo. 
Contar con disponibilidad para viajar al interior y posibilidad de residir en el lugar durante un tiempo.         ","
            ¿Te gusta vender?
¿Te desafía fidelizar a tus clientes y generar nuevos?
¡Te proponemos sumarte a nuestro equipo de ventas para que puedas hacerlo!
Si contás con formación terciaría en carreras tales como Ingeniería civil, industrial  y tenés experiencia en venta técnica o consultiva en la industria de la construcción.
¡No dejes pasar esta oportunidad!        ","
                                Experiencia de 2 años en el área de Construcción - arquitectura."
"https://trabajo.gallito.com.uy/anuncio/account-manager-y2qej","ACCOUNT MANAGER","CONVIXION","Ejecutivo Comercial","Ventas - Comercial","Hace 4 días ","¿Sos Ingeniero Industrial o Civil y te sientes atraído por el área comercial? ¡Tenemos una oportunidad para vos!

Estamos buscando jóvenes profesionales co ...","montevideo",2019-11-01 16:20:32,"
            Estamos buscado personas con gusto por lo comercial. 
Requisito excluyente contar con vehículo.        ","
            ¿Sos Ingeniero Industrial o Civil y te sientes atraído por el área comercial? ¡Tenemos una oportunidad para vos!
Estamos buscando jóvenes profesionales con gusto por las ventas para desarrollarlos y junto a nuestra empresa y metodología puedan hacer crecer  nuestro negocio en el interior del país. 
¿Estás dispuesto a radicarte en el país?        ","
                Universitario en ingeniería civil.                Experiencia de 1 año en el área de Ventas - comercial."
"https://trabajo.gallito.com.uy/anuncio/acompanante-a-domicilio-j6mnu","ACOMPAÑANTE A DOMICILIO","Cuidados a Domicilio","Auxiliar","Salud","Hace 3 semanas ","Cuidado de pacientes en cama, cambio de pañales, baños en cama, entre otras tareas afines. Será responsable por el cuidado integral del paciente en el hora ...","montevideo",2019-11-01 16:20:32,"
            Será responsable por el cuidado integral del paciente en el horario designado.        ","
            Cuidado de pacientes en cama, cambio de pañales, baños en cama, entre otras tareas afines.        ","
                                Experiencia de 3 meses en el área de Salud."
"https://trabajo.gallito.com.uy/anuncio/acompanante-en-sanatorio-tneu6","ACOMPAÑANTE EN SANATORIO","Gente Servicio de compañía","Auxiliar","Salud","Hace 1 semana ","Asistir al paciente en todas sus necesidades básicas. Compañía de adulto mayor en sanatorio, con buenas referencias y experiencia acreditada.

ACOMPAÑANTE  ...","montevideo",2019-11-01 16:20:32,"
            Compañía de adulto mayor en sanatorio, con buenas referencias y experiencia acreditada.
ACOMPAÑANTE para empresa de cuidado de enfermos, EXCLUSIVAMENTE CON DOMICILIO EN LA PAZ, COLÓN O SAYAGO. Ingreso Inmediato.        ","
            Asistir al paciente en todas sus necesidades básicas.        ","
                                Experiencia de 6 meses en el área de Salud.Experiencia de 6 meses en el área de Salud."
"https://trabajo.gallito.com.uy/anuncio/acompanantes-para-cerro-largo-melo-233z9","ACOMPAÑANTES PARA CERRO LARGO (MELO)","Importante empresa","Auxiliar","Salud","Hace 1 mes ","Requisitos:
o	Ciclo básico con tercer año aprobado
o	Experiencia en cuidados.
o	Se valorará título en Aux de enfermería Nuestra propuesta:
La mejor remuner ...","montevideo",2019-11-01 16:20:32,"
            Nuestra propuesta:
La mejor remuneración por hora.
Premios mensuales y anuales.
Capacitación de ingreso y profesional.
Apoyo continuo y personalizado en los servicios.
Comunicación permanente y personalizada        ","
            Requisitos:
o	Ciclo básico con tercer año aprobado
o	Experiencia en cuidados.
o	Se valorará título en Aux de enfermería        ",NA
"https://trabajo.gallito.com.uy/anuncio/adaptacion-sistema-de-gestion-php-p2qhd","ADAPTACIÓN SISTEMA DE GESTIÓN PHP","PuntoCom Servicios Tecnológicos","Analista","Tecnologías de la información","Hace 1 mes ","Conectar con webservices de factura electrónica un sistema en PHP. a convenir.","interior",2019-11-01 16:20:32,"
            a convenir.        ","
            Conectar con webservices de factura electrónica un sistema en PHP.        ","
                Formación profesional básica en computación e informática.                                Manejo de programas:Php a intermedio."
"https://trabajo.gallito.com.uy/anuncio/administracion-secretariado-vudua","ADMINISTRACION - SECRETARIADO","Importante empresa","Supervisor / Encargado","Administración - Secretariado","Hace 1 semana ","Asociacion sin fines de lucro busca administrativo-secretariado. 

-Comunicación interna
-Seguimiento de cuotas 
-Venta y cobro de servicios 
-Coordinación ...","montevideo",2019-11-01 16:20:32,"
            25 horas semanales, de lunes a viernes. 
horario flexible
Se valorará (no excluyente) estudiantes de:
-Relaciones internacionales
-Comunicación
-Secretariado
-Marketing        ","
            Asociacion sin fines de lucro busca administrativo-secretariado. 
-Comunicación interna
-Seguimiento de cuotas 
-Venta y cobro de servicios 
-Coordinación de cursos 
-Otros        ",NA
"https://trabajo.gallito.com.uy/anuncio/administracion-y-atencion-al-cliente-qr968","ADMINISTRACION Y ATENCION AL CLIENTE.","Importante empresa","Auxiliar","Administración - Secretariado","Hace 3 semanas ","LLEVAR ADELANTE EL AREA ADMINISTRATIVA HACIENDO LA FACTURACION, PAGOS A PROVEEDORES, ORDEN DE PORFOLIOS Y EL MANEJO DE MOVIMIENTOS BANCARIOS.
ATENCION AL C ...","montevideo",2019-11-01 16:20:32,"
            JORNADA DE 8 HORAS, DE LUNES A VIERNES.        ","
            LLEVAR ADELANTE EL AREA ADMINISTRATIVA HACIENDO LA FACTURACION, PAGOS A PROVEEDORES, ORDEN DE PORFOLIOS Y EL MANEJO DE MOVIMIENTOS BANCARIOS.
ATENCION AL CLIENTE, SACARLE SUS DUDAS Y GUIARLO CON NUESTROS PRODUCTOS.
FUNDAMENTAL QUE LA PERSONA TENGA GANAS DE TRABAJAR Y DE APRENDER.        ",NA
"https://trabajo.gallito.com.uy/anuncio/administrador-de-base-de-datos-2h5yz","ADMINISTRADOR DE BASE DE DATOS. PERFIL INFORMÁTICO","GEOCOM URUGUAY","Supervisor / Encargado","Tecnologías de la información","Hace 1 mes ","Nos encontramos en la búsqueda de un Administrador de Base de Datos Senior.

Requisitos:

- Mínimo 3 años de experiencia en cargo similares

- Instalación, ...","montevideo",2019-11-01 16:20:32,"
            Qué proponemos?
- El desafío de participar en proyectos (nacionales e internacionales) de alto impacto
- Estabilidad y excelente ambiente laboral
- Estacionamiento Vigilado
- Cancha de fútbol y zona deportiva
- Acuerdos con universidades para carreras de grado y posgrado
Acerca de nosotros:
GEOCOM es una empresa con más de 20 años en el mercado, dedicada a brindar servicios informáticos globales. Nos desarrollamos en diferentes sectores: Gobierno, Finanzas, Industria, Salud, Retail. A sus más de 300 colaboradores en Uruguay, se le suman sus oficinas en Argentina, Chile y Colombia.
Estamos certificados en ISO y evaluado en CMMI nivel 3.
-Por favor adjuntar CV con aspiraciones salariales.-        ","
            Nos encontramos en la búsqueda de un Administrador de Base de Datos Senior.
Requisitos:
- Mínimo 3 años de experiencia en cargo similares
- Instalación, actualización, tuning, soporte, programación SQL en las siguientes tecnologías (MySQL/MariaDB, Oracle, MongoDB (no excluyente))
- Será excluyente la experiencia implementando soluciones de alta disponibilidad en las tecnologías mencionadas
- Se valorará experiencia previa brindando soporte de base de datos en soluciones implementadas en GeneXus e Hibernate, así como herramientas de monitoreo de las distintas tecnologías (Grafana, Nagios, Monyog, etc.)
HORARIO: Lunes a Jueves de 9 a 18 - Viernes de 9 a 17
El presente llamado incluye el ingreso de personas en situación de discapacidad de acuerdo a la ley N° 19.691        ","
                                                Manejo de programas:Sql a avanzado.Manejo de programas:Oracle a avanzado."
